population_gnrl_rural,Nation,Year
3573833.037,argentina,2015
3556178.993,argentina,2016
3538524.948,argentina,2017
3520870.904,argentina,2018
3503216.86,argentina,2019
3485562.816,argentina,2020
3457040.991,argentina,2021
3428519.166,argentina,2022
3399997.341,argentina,2023
3371475.517,argentina,2024
3342953.692,argentina,2025
3309255.288,argentina,2026
3275556.884,argentina,2027
3241858.48,argentina,2028
3208160.076,argentina,2029
3174461.672,argentina,2030
3136098.59,argentina,2031
3097735.508,argentina,2032
3059372.426,argentina,2033
3021009.344,argentina,2034
2982646.262,argentina,2035
2940279.474,argentina,2036
2897912.685,argentina,2037
2855545.897,argentina,2038
2813179.108,argentina,2039
2770812.32,argentina,2040
2724193.275,argentina,2041
2677574.231,argentina,2042
2630955.186,argentina,2043
2584336.142,argentina,2044
2537717.097,argentina,2045
2487733.999,argentina,2046
2437750.9,argentina,2047
2387767.802,argentina,2048
2337784.703,argentina,2049
2287801.605,argentina,2050
63093.65882,bahamas,2015
63643.54369,bahamas,2016
64193.42857,bahamas,2017
64743.31344,bahamas,2018
65293.19831,bahamas,2019
65843.08318,bahamas,2020
66290.22306,bahamas,2021
66737.36294,bahamas,2022
67184.50283,bahamas,2023
67631.64271,bahamas,2024
68078.78259,bahamas,2025
68448.51128,bahamas,2026
68818.23996,bahamas,2027
69187.96865,bahamas,2028
69557.69733,bahamas,2029
69927.42602,bahamas,2030
70210.98701,bahamas,2031
70494.548,bahamas,2032
70778.10899,bahamas,2033
71061.66998,bahamas,2034
71345.23097,bahamas,2035
71540.03487,bahamas,2036
71734.83876,bahamas,2037
71929.64266,bahamas,2038
72124.44656,bahamas,2039
72319.25045,bahamas,2040
72425.26576,bahamas,2041
72531.28106,bahamas,2042
72637.29637,bahamas,2043
72743.31167,bahamas,2044
72849.32698,bahamas,2045
72886.44456,bahamas,2046
72923.56214,bahamas,2047
72960.67972,bahamas,2048
72997.79731,bahamas,2049
73034.91489,bahamas,2050
185473.7202,belize,2015
187777.4236,belize,2016
190081.127,belize,2017
192384.8303,belize,2018
194688.5337,belize,2019
196992.2371,belize,2020
198904.5988,belize,2021
200816.9605,belize,2022
202729.3223,belize,2023
204641.684,belize,2024
206554.0457,belize,2025
208100.6412,belize,2026
209647.2367,belize,2027
211193.8322,belize,2028
212740.4277,belize,2029
214287.0232,belize,2030
215513.5399,belize,2031
216740.0566,belize,2032
217966.5733,belize,2033
219193.09,belize,2034
220419.6067,belize,2035
221357.3189,belize,2036
222295.0311,belize,2037
223232.7433,belize,2038
224170.4555,belize,2039
225108.1677,belize,2040
225754.6084,belize,2041
226401.049,belize,2042
227047.4897,belize,2043
227693.9304,belize,2044
228340.371,belize,2045
228706.7049,belize,2046
229073.0387,belize,2047
229439.3725,belize,2048
229805.7063,belize,2049
230172.0401,belize,2050
3365464.284,bolivia,2015
3372758.605,bolivia,2016
3380052.925,bolivia,2017
3387347.246,bolivia,2018
3394641.566,bolivia,2019
3401935.887,bolivia,2020
3399894.704,bolivia,2021
3397853.52,bolivia,2022
3395812.337,bolivia,2023
3393771.153,bolivia,2024
3391729.97,bolivia,2025
3381899.145,bolivia,2026
3372068.321,bolivia,2027
3362237.497,bolivia,2028
3352406.673,bolivia,2029
3342575.849,bolivia,2030
3324872.717,bolivia,2031
3307169.584,bolivia,2032
3289466.452,bolivia,2033
3271763.32,bolivia,2034
3254060.187,bolivia,2035
3229362.103,bolivia,2036
3204664.02,bolivia,2037
3179965.936,bolivia,2038
3155267.852,bolivia,2039
3130569.769,bolivia,2040
3099437.041,bolivia,2041
3068304.313,bolivia,2042
3037171.585,bolivia,2043
3006038.857,bolivia,2044
2974906.129,bolivia,2045
2938382.632,bolivia,2046
2901859.135,bolivia,2047
2865335.638,bolivia,2048
2828812.141,bolivia,2049
2792288.644,bolivia,2050
28908261.38,brazil,2015
28605917.91,brazil,2016
28303574.45,brazil,2017
28001230.98,brazil,2018
27698887.51,brazil,2019
27396544.05,brazil,2020
26997623.22,brazil,2021
26598702.4,brazil,2022
26199781.57,brazil,2023
25800860.75,brazil,2024
25401939.93,brazil,2025
24941334.38,brazil,2026
24480728.83,brazil,2027
24020123.29,brazil,2028
23559517.74,brazil,2029
23098912.2,brazil,2030
22586763.57,brazil,2031
22074614.95,brazil,2032
21562466.32,brazil,2033
21050317.7,brazil,2034
20538169.07,brazil,2035
19985403.1,brazil,2036
19432637.14,brazil,2037
18879871.17,brazil,2038
18327105.2,brazil,2039
17774339.24,brazil,2040
17190791.42,brazil,2041
16607243.6,brazil,2042
16023695.79,brazil,2043
15440147.97,brazil,2044
14856600.15,brazil,2045
14250335.44,brazil,2046
13644070.73,brazil,2047
13037806.03,brazil,2048
12431541.32,brazil,2049
11825276.61,brazil,2050
189752.2014,barbados,2015
190253.702,barbados,2016
190755.2027,barbados,2017
191256.7033,barbados,2018
191758.2039,barbados,2019
192259.7046,barbados,2020
191700.5254,barbados,2021
191141.3462,barbados,2022
190582.167,barbados,2023
190022.9878,barbados,2024
189463.8087,barbados,2025
188730.7167,barbados,2026
187997.6248,barbados,2027
187264.5329,barbados,2028
186531.4409,barbados,2029
185798.349,barbados,2030
184890.0785,barbados,2031
183981.808,barbados,2032
183073.5375,barbados,2033
182165.267,barbados,2034
181256.9965,barbados,2035
180125.6998,barbados,2036
178994.4031,barbados,2037
177863.1064,barbados,2038
176731.8097,barbados,2039
175600.513,barbados,2040
174285.2397,barbados,2041
172969.9664,barbados,2042
171654.693,barbados,2043
170339.4197,barbados,2044
169024.1464,barbados,2045
167609.5225,barbados,2046
166194.8986,barbados,2047
164780.2746,barbados,2048
163365.6507,barbados,2049
161951.0268,barbados,2050
2258778.927,chile,2015
2252628.494,chile,2016
2246478.06,chile,2017
2240327.626,chile,2018
2234177.193,chile,2019
2228026.759,chile,2020
2224232.349,chile,2021
2220437.939,chile,2022
2216643.53,chile,2023
2212849.12,chile,2024
2209054.71,chile,2025
2201639.754,chile,2026
2194224.798,chile,2027
2186809.842,chile,2028
2179394.886,chile,2029
2171979.93,chile,2030
2161084.445,chile,2031
2150188.96,chile,2032
2139293.475,chile,2033
2128397.99,chile,2034
2117502.505,chile,2035
2103464.526,chile,2036
2089426.546,chile,2037
2075388.567,chile,2038
2061350.588,chile,2039
2047312.609,chile,2040
2030674.646,chile,2041
2014036.683,chile,2042
1997398.72,chile,2043
1980760.757,chile,2044
1964122.794,chile,2045
1945022.706,chile,2046
1925922.618,chile,2047
1906822.53,chile,2048
1887722.443,chile,2049
1868622.355,chile,2050
9984879.094,colombia,2015
9972760.803,colombia,2016
9960642.512,colombia,2017
9948524.221,colombia,2018
9936405.93,colombia,2019
9924287.64,colombia,2020
9863900.585,colombia,2021
9803513.53,colombia,2022
9743126.476,colombia,2023
9682739.421,colombia,2024
9622352.367,colombia,2025
9537466.291,colombia,2026
9452580.216,colombia,2027
9367694.14,colombia,2028
9282808.065,colombia,2029
9197921.989,colombia,2030
9089504.568,colombia,2031
8981087.146,colombia,2032
8872669.725,colombia,2033
8764252.304,colombia,2034
8655834.882,colombia,2035
8527389.321,colombia,2036
8398943.76,colombia,2037
8270498.199,colombia,2038
8142052.637,colombia,2039
8013607.076,colombia,2040
7867731.164,colombia,2041
7721855.252,colombia,2042
7575979.341,colombia,2043
7430103.429,colombia,2044
7284227.517,colombia,2045
7122423.092,colombia,2046
6960618.667,colombia,2047
6798814.243,colombia,2048
6637009.818,colombia,2049
6475205.393,colombia,2050
1157256.943,costa_rica,2015
1128199.695,costa_rica,2016
1099142.446,costa_rica,2017
1070085.198,costa_rica,2018
1041027.95,costa_rica,2019
1011970.702,costa_rica,2020
972667.9065,costa_rica,2021
933365.111,costa_rica,2022
894062.3156,costa_rica,2023
854759.5202,costa_rica,2024
815456.7248,costa_rica,2025
770181.8689,costa_rica,2026
724907.0131,costa_rica,2027
679632.1573,costa_rica,2028
634357.3015,costa_rica,2029
589082.4457,costa_rica,2030
538433.2962,costa_rica,2031
487784.1467,costa_rica,2032
437134.9973,costa_rica,2033
386485.8478,costa_rica,2034
335836.6983,costa_rica,2035
280591.0623,costa_rica,2036
225345.4264,costa_rica,2037
170099.7905,costa_rica,2038
114854.1545,costa_rica,2039
59608.51858,costa_rica,2040
60840.1998,costa_rica,2041
62071.88103,costa_rica,2042
63303.56225,costa_rica,2043
64535.24347,costa_rica,2044
65766.92469,costa_rica,2045
66085.4835,costa_rica,2046
66404.0423,costa_rica,2047
66722.60111,costa_rica,2048
67041.15991,costa_rica,2049
67359.71872,costa_rica,2050
2254892.408,dominican_republic,2015
2180153.14,dominican_republic,2016
2105413.872,dominican_republic,2017
2030674.603,dominican_republic,2018
1955935.335,dominican_republic,2019
1881196.067,dominican_republic,2020
1793080.758,dominican_republic,2021
1704965.449,dominican_republic,2022
1616850.14,dominican_republic,2023
1528734.831,dominican_republic,2024
1440619.522,dominican_republic,2025
1342719.224,dominican_republic,2026
1244818.927,dominican_republic,2027
1146918.63,dominican_republic,2028
1049018.333,dominican_republic,2029
951118.0361,dominican_republic,2030
844718.612,dominican_republic,2031
738319.1878,dominican_republic,2032
631919.7637,dominican_republic,2033
525520.3396,dominican_republic,2034
419120.9155,dominican_republic,2035
360689.0342,dominican_republic,2036
302257.1529,dominican_republic,2037
243825.2715,dominican_republic,2038
185393.3902,dominican_republic,2039
126961.5089,dominican_republic,2040
127456.7176,dominican_republic,2041
127951.9264,dominican_republic,2042
128447.1351,dominican_republic,2043
128942.3439,dominican_republic,2044
129437.5526,dominican_republic,2045
129814.4021,dominican_republic,2046
130191.2516,dominican_republic,2047
130568.101,dominican_republic,2048
130944.9505,dominican_republic,2049
131321.8,dominican_republic,2050
5649373.13,ecuador,2015
5696503.699,ecuador,2016
5743634.267,ecuador,2017
5790764.836,ecuador,2018
5837895.405,ecuador,2019
5885025.973,ecuador,2020
5924698.158,ecuador,2021
5964370.343,ecuador,2022
6004042.528,ecuador,2023
6043714.713,ecuador,2024
6083386.898,ecuador,2025
6114889.994,ecuador,2026
6146393.09,ecuador,2027
6177896.186,ecuador,2028
6209399.282,ecuador,2029
6240902.378,ecuador,2030
6264206.58,ecuador,2031
6287510.781,ecuador,2032
6310814.983,ecuador,2033
6334119.184,ecuador,2034
6357423.385,ecuador,2035
6372857.127,ecuador,2036
6388290.868,ecuador,2037
6403724.61,ecuador,2038
6419158.351,ecuador,2039
6434592.092,ecuador,2040
6441315.772,ecuador,2041
6448039.451,ecuador,2042
6454763.13,ecuador,2043
6461486.809,ecuador,2044
6468210.489,ecuador,2045
6466967.684,ecuador,2046
6465724.879,ecuador,2047
6464482.074,ecuador,2048
6463239.269,ecuador,2049
6461996.465,ecuador,2050
7998800.452,guatemala,2015
8079543.041,guatemala,2016
8160285.63,guatemala,2017
8241028.218,guatemala,2018
8321770.807,guatemala,2019
8402513.395,guatemala,2020
8474477.686,guatemala,2021
8546441.977,guatemala,2022
8618406.268,guatemala,2023
8690370.56,guatemala,2024
8762334.851,guatemala,2025
8818790.825,guatemala,2026
8875246.799,guatemala,2027
8931702.773,guatemala,2028
8988158.747,guatemala,2029
9044614.722,guatemala,2030
9082211.064,guatemala,2031
9119807.407,guatemala,2032
9157403.75,guatemala,2033
9195000.093,guatemala,2034
9232596.436,guatemala,2035
9249502.044,guatemala,2036
9266407.653,guatemala,2037
9283313.261,guatemala,2038
9300218.869,guatemala,2039
9317124.478,guatemala,2040
9317595.339,guatemala,2041
9318066.201,guatemala,2042
9318537.063,guatemala,2043
9319007.925,guatemala,2044
9319478.787,guatemala,2045
9303029.177,guatemala,2046
9286579.567,guatemala,2047
9270129.957,guatemala,2048
9253680.347,guatemala,2049
9237230.738,guatemala,2050
561289.5001,guyana,2015
562077.4923,guyana,2016
562865.4845,guyana,2017
563653.4767,guyana,2018
564441.4689,guyana,2019
565229.4611,guyana,2020
565775.8056,guyana,2021
566322.1501,guyana,2022
566868.4946,guyana,2023
567414.8391,guyana,2024
567961.1835,guyana,2025
567530.5802,guyana,2026
567099.9768,guyana,2027
566669.3735,guyana,2028
566238.7701,guyana,2029
565808.1667,guyana,2030
564519.7265,guyana,2031
563231.2862,guyana,2032
561942.8459,guyana,2033
560654.4056,guyana,2034
559365.9653,guyana,2035
557265.214,guyana,2036
555164.4627,guyana,2037
553063.7115,guyana,2038
550962.9602,guyana,2039
548862.2089,guyana,2040
546133.6283,guyana,2041
543405.0477,guyana,2042
540676.467,guyana,2043
537947.8864,guyana,2044
535219.3058,guyana,2045
532149.3071,guyana,2046
529079.3084,guyana,2047
526009.3097,guyana,2048
522939.311,guyana,2049
519869.3123,guyana,2050
3712943.26,honduras,2015
3719952.543,honduras,2016
3726961.827,honduras,2017
3733971.11,honduras,2018
3740980.393,honduras,2019
3747989.677,honduras,2020
3740504.147,honduras,2021
3733018.617,honduras,2022
3725533.087,honduras,2023
3718047.557,honduras,2024
3710562.026,honduras,2025
3691528.844,honduras,2026
3672495.662,honduras,2027
3653462.48,honduras,2028
3634429.298,honduras,2029
3615396.116,honduras,2030
3586546.061,honduras,2031
3557696.006,honduras,2032
3528845.951,honduras,2033
3499995.896,honduras,2034
3471145.841,honduras,2035
3433230.311,honduras,2036
3395314.782,honduras,2037
3357399.253,honduras,2038
3319483.724,honduras,2039
3281568.195,honduras,2040
3234692.905,honduras,2041
3187817.616,honduras,2042
3140942.326,honduras,2043
3094067.037,honduras,2044
3047191.747,honduras,2045
2992703.091,honduras,2046
2938214.434,honduras,2047
2883725.777,honduras,2048
2829237.12,honduras,2049
2774748.464,honduras,2050
5022324.9,haiti,2015
4969613.163,haiti,2016
4916901.425,haiti,2017
4864189.688,haiti,2018
4811477.951,haiti,2019
4758766.213,haiti,2020
4688551.168,haiti,2021
4618336.123,haiti,2022
4548121.079,haiti,2023
4477906.034,haiti,2024
4407690.989,haiti,2025
4324560.388,haiti,2026
4241429.787,haiti,2027
4158299.185,haiti,2028
4075168.584,haiti,2029
3992037.983,haiti,2030
3897415.494,haiti,2031
3802793.005,haiti,2032
3708170.515,haiti,2033
3613548.026,haiti,2034
3518925.537,haiti,2035
3415533.805,haiti,2036
3312142.074,haiti,2037
3208750.343,haiti,2038
3105358.611,haiti,2039
3001966.88,haiti,2040
2891174.911,haiti,2041
2780382.941,haiti,2042
2669590.972,haiti,2043
2558799.003,haiti,2044
2448007.034,haiti,2045
2331476.29,haiti,2046
2214945.547,haiti,2047
2098414.803,haiti,2048
1981884.059,haiti,2049
1865353.315,haiti,2050
1260423.45,jamaica,2015
1257932.325,jamaica,2016
1255441.201,jamaica,2017
1252950.077,jamaica,2018
1250458.952,jamaica,2019
1247967.828,jamaica,2020
1244155.192,jamaica,2021
1240342.556,jamaica,2022
1236529.92,jamaica,2023
1232717.283,jamaica,2024
1228904.647,jamaica,2025
1223292.603,jamaica,2026
1217680.559,jamaica,2027
1212068.514,jamaica,2028
1206456.47,jamaica,2029
1200844.426,jamaica,2030
1193931.732,jamaica,2031
1187019.039,jamaica,2032
1180106.345,jamaica,2033
1173193.651,jamaica,2034
1166280.958,jamaica,2035
1158316.51,jamaica,2036
1150352.063,jamaica,2037
1142387.615,jamaica,2038
1134423.168,jamaica,2039
1126458.72,jamaica,2040
1117656.194,jamaica,2041
1108853.668,jamaica,2042
1100051.142,jamaica,2043
1091248.616,jamaica,2044
1082446.09,jamaica,2045
1072665.304,jamaica,2046
1062884.519,jamaica,2047
1053103.734,jamaica,2048
1043322.949,jamaica,2049
1033542.164,jamaica,2050
24858314.45,mexico,2015
24681596.21,mexico,2016
24504877.98,mexico,2017
24328159.74,mexico,2018
24151441.5,mexico,2019
23974723.26,mexico,2020
23765358.52,mexico,2021
23555993.78,mexico,2022
23346629.03,mexico,2023
23137264.29,mexico,2024
22927899.55,mexico,2025
22660494.36,mexico,2026
22393089.17,mexico,2027
22125683.98,mexico,2028
21858278.79,mexico,2029
21590873.6,mexico,2030
21269794.43,mexico,2031
20948715.26,mexico,2032
20627636.09,mexico,2033
20306556.91,mexico,2034
19985477.74,mexico,2035
19618281.57,mexico,2036
19251085.39,mexico,2037
18883889.22,mexico,2038
18516693.05,mexico,2039
18149496.87,mexico,2040
17743200.61,mexico,2041
17336904.34,mexico,2042
16930608.07,mexico,2043
16524311.81,mexico,2044
16118015.54,mexico,2045
15680415.68,mexico,2046
15242815.81,mexico,2047
14805215.94,mexico,2048
14367616.08,mexico,2049
13930016.21,mexico,2050
2569392.67,nicaragua,2015
2577488.392,nicaragua,2016
2585584.114,nicaragua,2017
2593679.836,nicaragua,2018
2601775.558,nicaragua,2019
2609871.279,nicaragua,2020
2613687.719,nicaragua,2021
2617504.159,nicaragua,2022
2621320.599,nicaragua,2023
2625137.038,nicaragua,2024
2628953.478,nicaragua,2025
2628627.914,nicaragua,2026
2628302.349,nicaragua,2027
2627976.784,nicaragua,2028
2627651.22,nicaragua,2029
2627325.655,nicaragua,2030
2623042.299,nicaragua,2031
2618758.942,nicaragua,2032
2614475.586,nicaragua,2033
2610192.229,nicaragua,2034
2605908.872,nicaragua,2035
2597646.883,nicaragua,2036
2589384.893,nicaragua,2037
2581122.903,nicaragua,2038
2572860.914,nicaragua,2039
2564598.924,nicaragua,2040
2552987.003,nicaragua,2041
2541375.082,nicaragua,2042
2529763.16,nicaragua,2043
2518151.239,nicaragua,2044
2506539.317,nicaragua,2045
2491980.025,nicaragua,2046
2477420.733,nicaragua,2047
2462861.44,nicaragua,2048
2448302.148,nicaragua,2049
2433742.856,nicaragua,2050
1257271.184,panama,2015
1263223.602,panama,2016
1269176.019,panama,2017
1275128.437,panama,2018
1281080.854,panama,2019
1287033.272,panama,2020
1289969.963,panama,2021
1292906.653,panama,2022
1295843.344,panama,2023
1298780.035,panama,2024
1301716.726,panama,2025
1302416.239,panama,2026
1303115.752,panama,2027
1303815.265,panama,2028
1304514.779,panama,2029
1305214.292,panama,2030
1303334.638,panama,2031
1301454.984,panama,2032
1299575.329,panama,2033
1297695.675,panama,2034
1295816.021,panama,2035
1291640.906,panama,2036
1287465.792,panama,2037
1283290.677,panama,2038
1279115.563,panama,2039
1274940.448,panama,2040
1268397.96,panama,2041
1261855.473,panama,2042
1255312.985,panama,2043
1248770.497,panama,2044
1242228.009,panama,2045
1233525.721,panama,2046
1224823.433,panama,2047
1216121.145,panama,2048
1207418.857,panama,2049
1198716.568,panama,2050
6874576.615,peru,2015
6882975.937,peru,2016
6891375.258,peru,2017
6899774.579,peru,2018
6908173.9,peru,2019
6916573.222,peru,2020
6906160.655,peru,2021
6895748.088,peru,2022
6885335.521,peru,2023
6874922.954,peru,2024
6864510.387,peru,2025
6844103.051,peru,2026
6823695.715,peru,2027
6803288.379,peru,2028
6782881.044,peru,2029
6762473.708,peru,2030
6731497.443,peru,2031
6700521.179,peru,2032
6669544.914,peru,2033
6638568.65,peru,2034
6607592.386,peru,2035
6567824.628,peru,2036
6528056.87,peru,2037
6488289.112,peru,2038
6448521.353,peru,2039
6408753.595,peru,2040
6360764.866,peru,2041
6312776.137,peru,2042
6264787.408,peru,2043
6216798.679,peru,2044
6168809.95,peru,2045
6113457.087,peru,2046
6058104.224,peru,2047
6002751.361,peru,2048
5947398.497,peru,2049
5892045.634,peru,2050
2741990.331,paraguay,2015
2763728.557,paraguay,2016
2785466.784,paraguay,2017
2807205.011,paraguay,2018
2828943.238,paraguay,2019
2850681.464,paraguay,2020
2865946.568,paraguay,2021
2881211.672,paraguay,2022
2896476.776,paraguay,2023
2911741.88,paraguay,2024
2927006.984,paraguay,2025
2936723.923,paraguay,2026
2946440.862,paraguay,2027
2956157.801,paraguay,2028
2965874.74,paraguay,2029
2975591.679,paraguay,2030
2980320.087,paraguay,2031
2985048.495,paraguay,2032
2989776.903,paraguay,2033
2994505.311,paraguay,2034
2999233.719,paraguay,2035
2998955.914,paraguay,2036
2998678.109,paraguay,2037
2998400.304,paraguay,2038
2998122.499,paraguay,2039
2997844.694,paraguay,2040
2992507.626,paraguay,2041
2987170.557,paraguay,2042
2981833.488,paraguay,2043
2976496.42,paraguay,2044
2971159.351,paraguay,2045
2961034.134,paraguay,2046
2950908.916,paraguay,2047
2940783.699,paraguay,2048
2930658.482,paraguay,2049
2920533.264,paraguay,2050
1910067.604,el_salvador,2015
1872743.286,el_salvador,2016
1835418.968,el_salvador,2017
1798094.65,el_salvador,2018
1760770.333,el_salvador,2019
1723446.015,el_salvador,2020
1677489.887,el_salvador,2021
1631533.759,el_salvador,2022
1585577.631,el_salvador,2023
1539621.503,el_salvador,2024
1493665.375,el_salvador,2025
1445497.433,el_salvador,2026
1397329.491,el_salvador,2027
1349161.549,el_salvador,2028
1300993.607,el_salvador,2029
1252825.665,el_salvador,2030
1204073.028,el_salvador,2031
1155320.391,el_salvador,2032
1106567.755,el_salvador,2033
1057815.118,el_salvador,2034
1009062.482,el_salvador,2035
960460.8773,el_salvador,2036
911859.273,el_salvador,2037
863257.6687,el_salvador,2038
814656.0645,el_salvador,2039
766054.4602,el_salvador,2040
717899.8068,el_salvador,2041
669745.1534,el_salvador,2042
621590.4999,el_salvador,2043
573435.8465,el_salvador,2044
525281.1931,el_salvador,2045
478192.4915,el_salvador,2046
431103.7899,el_salvador,2047
384015.0883,el_salvador,2048
336926.3867,el_salvador,2049
289837.6851,el_salvador,2050
186184.5202,suriname,2015
187837.9105,suriname,2016
189491.3008,suriname,2017
191144.6911,suriname,2018
192798.0813,suriname,2019
194451.4716,suriname,2020
194243.1043,suriname,2021
194034.737,suriname,2022
193826.3696,suriname,2023
193618.0023,suriname,2024
193409.635,suriname,2025
192932.9099,suriname,2026
192456.1847,suriname,2027
191979.4596,suriname,2028
191502.7345,suriname,2029
191026.0094,suriname,2030
190263.1117,suriname,2031
189500.2139,suriname,2032
188737.3162,suriname,2033
187974.4185,suriname,2034
187211.5207,suriname,2035
186168.7858,suriname,2036
185126.0509,suriname,2037
184083.316,suriname,2038
183040.5811,suriname,2039
181997.8463,suriname,2040
180729.0982,suriname,2041
179460.3501,suriname,2042
178191.602,suriname,2043
176922.8539,suriname,2044
175654.1059,suriname,2045
174204.6713,suriname,2046
172755.2367,suriname,2047
171305.8022,suriname,2048
169856.3676,suriname,2049
168406.9331,suriname,2050
635168.2085,trinidad_and_tobago,2015
637057.4554,trinidad_and_tobago,2016
638946.7024,trinidad_and_tobago,2017
640835.9493,trinidad_and_tobago,2018
642725.1963,trinidad_and_tobago,2019
644614.4432,trinidad_and_tobago,2020
640692.4827,trinidad_and_tobago,2021
636770.5221,trinidad_and_tobago,2022
632848.5616,trinidad_and_tobago,2023
628926.601,trinidad_and_tobago,2024
625004.6404,trinidad_and_tobago,2025
620206.1642,trinidad_and_tobago,2026
615407.6879,trinidad_and_tobago,2027
610609.2117,trinidad_and_tobago,2028
605810.7354,trinidad_and_tobago,2029
601012.2591,trinidad_and_tobago,2030
595715.0782,trinidad_and_tobago,2031
590417.8974,trinidad_and_tobago,2032
585120.7165,trinidad_and_tobago,2033
579823.5356,trinidad_and_tobago,2034
574526.3547,trinidad_and_tobago,2035
568728.2662,trinidad_and_tobago,2036
562930.1776,trinidad_and_tobago,2037
557132.0891,trinidad_and_tobago,2038
551334.0006,trinidad_and_tobago,2039
545535.912,trinidad_and_tobago,2040
539237.9854,trinidad_and_tobago,2041
532940.0587,trinidad_and_tobago,2042
526642.132,trinidad_and_tobago,2043
520344.2054,trinidad_and_tobago,2044
514046.2787,trinidad_and_tobago,2045
507320.53,trinidad_and_tobago,2046
500594.7813,trinidad_and_tobago,2047
493869.0326,trinidad_and_tobago,2048
487143.2839,trinidad_and_tobago,2049
480417.5352,trinidad_and_tobago,2050
168390.951,uruguay,2015
162120.9124,uruguay,2016
155850.8738,uruguay,2017
149580.8352,uruguay,2018
143310.7966,uruguay,2019
137040.758,uruguay,2020
131859.5072,uruguay,2021
126678.2564,uruguay,2022
121497.0056,uruguay,2023
116315.7548,uruguay,2024
111134.504,uruguay,2025
105847.6122,uruguay,2026
100560.7204,uruguay,2027
95273.82868,uruguay,2028
89986.93692,uruguay,2029
84700.04516,uruguay,2030
79344.38138,uruguay,2031
73988.71761,uruguay,2032
68633.05384,uruguay,2033
63277.39006,uruguay,2034
57921.72629,uruguay,2035
52566.10232,uruguay,2036
47210.47835,uruguay,2037
41854.85439,uruguay,2038
36499.23042,uruguay,2039
31143.60645,uruguay,2040
25854.38066,uruguay,2041
20565.15487,uruguay,2042
15275.92908,uruguay,2043
9986.703295,uruguay,2044
4697.477506,uruguay,2045
10422.86623,uruguay,2046
16148.25495,uruguay,2047
21873.64367,uruguay,2048
27599.03239,uruguay,2049
33324.42111,uruguay,2050
3692928.486,venezuela,2015
3751222.308,venezuela,2016
3809516.131,venezuela,2017
3867809.953,venezuela,2018
3926103.775,venezuela,2019
3984397.597,venezuela,2020
3931124.95,venezuela,2021
3877852.303,venezuela,2022
3824579.656,venezuela,2023
3771307.009,venezuela,2024
3718034.362,venezuela,2025
3651246.828,venezuela,2026
3584459.293,venezuela,2027
3517671.759,venezuela,2028
3450884.225,venezuela,2029
3384096.69,venezuela,2030
3304087.369,venezuela,2031
3224078.048,venezuela,2032
3144068.726,venezuela,2033
3064059.405,venezuela,2034
2984050.084,venezuela,2035
2892575.374,venezuela,2036
2801100.664,venezuela,2037
2709625.954,venezuela,2038
2618151.244,venezuela,2039
2526676.534,venezuela,2040
2425589.901,venezuela,2041
2324503.268,venezuela,2042
2223416.635,venezuela,2043
2122330.002,venezuela,2044
2021243.369,venezuela,2045
1912307.344,venezuela,2046
1803371.32,venezuela,2047
1694435.296,venezuela,2048
1585499.271,venezuela,2049
1476563.247,venezuela,2050
