population_gnrl_urban,Nation,Year
38471261.51,argentina,2015
38793803.69,argentina,2016
39116345.86,argentina,2017
39438888.04,argentina,2018
39761430.21,argentina,2019
40083972.38,argentina,2020
40386364.08,argentina,2021
40688755.79,argentina,2022
40991147.49,argentina,2023
41293539.19,argentina,2024
41595930.89,argentina,2025
41872920.24,argentina,2026
42149909.6,argentina,2027
42426898.96,argentina,2028
42703888.31,argentina,2029
42980877.67,argentina,2030
43231907.75,argentina,2031
43482937.83,argentina,2032
43733967.91,argentina,2033
43984998,argentina,2034
44236028.08,argentina,2035
44462965.36,argentina,2036
44689902.63,argentina,2037
44916839.91,argentina,2038
45143777.19,argentina,2039
45370714.47,argentina,2040
45559917.51,argentina,2041
45749120.56,argentina,2042
45938323.6,argentina,2043
46127526.65,argentina,2044
46316729.69,argentina,2045
46471226.04,argentina,2046
46625722.39,argentina,2047
46780218.74,argentina,2048
46934715.09,argentina,2049
47089211.45,argentina,2050
302666.6822,bahamas,2015
306427.1799,bahamas,2016
310187.6776,bahamas,2017
313948.1754,bahamas,2018
317708.6731,bahamas,2019
321469.1708,bahamas,2020
325036.8465,bahamas,2021
328604.5223,bahamas,2022
332172.198,bahamas,2023
335739.8737,bahamas,2024
339307.5494,bahamas,2025
342622.5075,bahamas,2026
345937.4656,bahamas,2027
349252.4238,bahamas,2028
352567.3819,bahamas,2029
355882.34,bahamas,2030
358881.327,bahamas,2031
361880.314,bahamas,2032
364879.301,bahamas,2033
367878.288,bahamas,2034
370877.275,bahamas,2035
373524.5413,bahamas,2036
376171.8076,bahamas,2037
378819.0739,bahamas,2038
381466.3402,bahamas,2039
384113.6065,bahamas,2040
386384.4402,bahamas,2041
388655.2739,bahamas,2042
390926.1076,bahamas,2043
393196.9413,bahamas,2044
395467.775,bahamas,2045
397446.1648,bahamas,2046
399424.5547,bahamas,2047
401402.9445,bahamas,2048
403381.3343,bahamas,2049
405359.7241,bahamas,2050
154283.9648,belize,2015
156988.8122,belize,2016
159693.6596,belize,2017
162398.5071,belize,2018
165103.3545,belize,2019
167808.2019,belize,2020
170048.1204,belize,2021
172288.0389,belize,2022
174527.9573,belize,2023
176767.8758,belize,2024
179007.7943,belize,2025
180992.076,belize,2026
182976.3577,belize,2027
184960.6394,belize,2028
186944.9211,belize,2029
188929.2028,belize,2030
190683.6989,belize,2031
192438.195,belize,2032
194192.6911,belize,2033
195947.1872,belize,2034
197701.6833,belize,2035
199241.4347,belize,2036
200781.1861,belize,2037
202320.9375,belize,2038
203860.6889,belize,2039
205400.4403,belize,2040
206710.6964,belize,2041
208020.9526,belize,2042
209331.2087,belize,2043
210641.4648,belize,2044
211951.721,belize,2045
213030.0303,belize,2046
214108.3397,belize,2047
215186.6491,belize,2048
216264.9585,belize,2049
217343.2679,belize,2050
7281369.896,bolivia,2015
7412665.997,bolivia,2016
7543962.099,bolivia,2017
7675258.2,bolivia,2018
7806554.302,bolivia,2019
7937850.403,bolivia,2020
8072215.022,bolivia,2021
8206579.642,bolivia,2022
8340944.261,bolivia,2023
8475308.881,bolivia,2024
8609673.5,bolivia,2025
8739808.687,bolivia,2026
8869943.873,bolivia,2027
9000079.059,bolivia,2028
9130214.245,bolivia,2029
9260349.431,bolivia,2030
9383474.383,bolivia,2031
9506599.336,bolivia,2032
9629724.288,bolivia,2033
9752849.24,bolivia,2034
9875974.193,bolivia,2035
9991649.771,bolivia,2036
10107325.35,bolivia,2037
10223000.93,bolivia,2038
10338676.5,bolivia,2039
10454352.08,bolivia,2040
10561111.15,bolivia,2041
10667870.21,bolivia,2042
10774629.28,bolivia,2043
10881388.34,bolivia,2044
10988147.41,bolivia,2045
11086188.29,bolivia,2046
11184229.16,bolivia,2047
11282270.04,bolivia,2048
11380310.91,bolivia,2049
11478351.79,bolivia,2050
174241853.7,brazil,2015
176062703.5,brazil,2016
177883553.2,brazil,2017
179704403,brazil,2018
181525252.7,brazil,2019
183346102.5,brazil,2020
185080556.6,brazil,2021
186815010.8,brazil,2022
188549464.9,brazil,2023
190283919.1,brazil,2024
192018373.3,brazil,2025
193558733.9,brazil,2026
195099094.6,brazil,2027
196639455.2,brazil,2028
198179815.9,brazil,2029
199720176.5,brazil,2030
201056726.3,brazil,2031
202393276.2,brazil,2032
203729826,brazil,2033
205066375.8,brazil,2034
206402925.6,brazil,2035
207535591.4,brazil,2036
208668257.1,brazil,2037
209800922.9,brazil,2038
210933588.6,brazil,2039
212066254.4,brazil,2040
212987969.6,brazil,2041
213909684.9,brazil,2042
214831400.2,brazil,2043
215753115.5,brazil,2044
216674830.8,brazil,2045
217348443,brazil,2046
218022055.3,brazil,2047
218695667.6,brazil,2048
219369279.9,brazil,2049
220042892.2,brazil,2050
86251.00063,barbados,2015
86276.31019,barbados,2016
86301.61975,barbados,2017
86326.92931,barbados,2018
86352.23887,barbados,2019
86377.54843,barbados,2020
87271.98701,barbados,2021
88166.4256,barbados,2022
89060.86418,barbados,2023
89955.30276,barbados,2024
90849.74135,barbados,2025
91669.59108,barbados,2026
92489.44081,barbados,2027
93309.29054,barbados,2028
94129.14027,barbados,2029
94948.99,barbados,2030
95677.3327,barbados,2031
96405.6754,barbados,2032
97134.0181,barbados,2033
97862.36079,barbados,2034
98590.70349,barbados,2035
99182.06459,barbados,2036
99773.4257,barbados,2037
100364.7868,barbados,2038
100956.1479,barbados,2039
101547.509,barbados,2040
102001.2907,barbados,2041
102455.0724,barbados,2042
102908.8542,barbados,2043
103362.6359,barbados,2044
103816.4176,barbados,2045
104165.3115,barbados,2046
104514.2054,barbados,2047
104863.0994,barbados,2048
105211.9933,barbados,2049
105560.8872,barbados,2050
15611307.52,chile,2015
15756818.6,chile,2016
15902329.67,chile,2017
16047840.75,chile,2018
16193351.83,chile,2019
16338862.9,chile,2020
16465553.84,chile,2021
16592244.78,chile,2022
16718935.71,chile,2023
16845626.65,chile,2024
16972317.59,chile,2025
17080581.83,chile,2026
17188846.06,chile,2027
17297110.3,chile,2028
17405374.53,chile,2029
17513638.77,chile,2030
17601633.27,chile,2031
17689627.78,chile,2032
17777622.28,chile,2033
17865616.78,chile,2034
17953611.29,chile,2035
18020935,chile,2036
18088258.72,chile,2037
18155582.43,chile,2038
18222906.15,chile,2039
18290229.86,chile,2040
18338398.2,chile,2041
18386566.55,chile,2042
18434734.89,chile,2043
18482903.23,chile,2044
18531071.58,chile,2045
18557995.11,chile,2046
18584918.64,chile,2047
18611842.17,chile,2048
18638765.7,chile,2049
18665689.24,chile,2050
39347527.5,colombia,2015
39939783.04,colombia,2016
40532038.58,colombia,2017
41124294.12,colombia,2018
41716549.66,colombia,2019
42308805.2,colombia,2020
42905601.12,colombia,2021
43502397.04,colombia,2022
44099192.96,colombia,2023
44695988.87,colombia,2024
45292784.79,colombia,2025
45860197.16,colombia,2026
46427609.53,colombia,2027
46995021.9,colombia,2028
47562434.27,colombia,2029
48129846.64,colombia,2030
48657151.82,colombia,2031
49184457,colombia,2032
49711762.18,colombia,2033
50239067.37,colombia,2034
50766372.55,colombia,2035
51255277.08,colombia,2036
51744181.61,colombia,2037
52233086.14,colombia,2038
52721990.67,colombia,2039
53210895.2,colombia,2040
53658865.43,colombia,2041
54106835.65,colombia,2042
54554805.87,colombia,2043
55002776.09,colombia,2044
55450746.31,colombia,2045
55845566.62,colombia,2046
56240386.92,colombia,2047
56635207.22,colombia,2048
57030027.52,colombia,2049
57424847.83,colombia,2050
3843853.441,costa_rica,2015
3937920.93,costa_rica,2016
4031988.42,costa_rica,2017
4126055.909,costa_rica,2018
4220123.398,costa_rica,2019
4314190.887,costa_rica,2020
4414323.585,costa_rica,2021
4514456.284,costa_rica,2022
4614588.982,costa_rica,2023
4714721.68,costa_rica,2024
4814854.378,costa_rica,2025
4916172.256,costa_rica,2026
5017490.133,costa_rica,2027
5118808.01,costa_rica,2028
5220125.888,costa_rica,2029
5321443.765,costa_rica,2030
5422415.923,costa_rica,2031
5523388.081,costa_rica,2032
5624360.239,costa_rica,2033
5725332.397,costa_rica,2034
5826304.555,costa_rica,2035
5926447.338,costa_rica,2036
6026590.122,costa_rica,2037
6126732.905,costa_rica,2038
6226875.689,costa_rica,2039
6327018.472,costa_rica,2040
6363799.887,costa_rica,2041
6400581.301,costa_rica,2042
6437362.716,costa_rica,2043
6474144.13,costa_rica,2044
6510925.544,costa_rica,2045
6542462.866,costa_rica,2046
6574000.188,costa_rica,2047
6605537.51,costa_rica,2048
6637074.831,costa_rica,2049
6668612.153,costa_rica,2050
8267237.352,dominican_republic,2015
8450722.512,dominican_republic,2016
8634207.672,dominican_republic,2017
8817692.833,dominican_republic,2018
9001177.993,dominican_republic,2019
9184663.153,dominican_republic,2020
9371791.316,dominican_republic,2021
9558919.479,dominican_republic,2022
9746047.642,dominican_republic,2023
9933175.805,dominican_republic,2024
10120303.97,dominican_republic,2025
10307159.07,dominican_republic,2026
10494014.17,dominican_republic,2027
10680869.27,dominican_republic,2028
10867724.37,dominican_republic,2029
11054579.47,dominican_republic,2030
11237401.46,dominican_republic,2031
11420223.44,dominican_republic,2032
11603045.43,dominican_republic,2033
11785867.41,dominican_republic,2034
11968689.39,dominican_republic,2035
12088789.39,dominican_republic,2036
12208889.39,dominican_republic,2037
12328989.39,dominican_republic,2038
12449089.38,dominican_republic,2039
12569189.38,dominican_republic,2040
12618215.05,dominican_republic,2041
12667240.71,dominican_republic,2042
12716266.38,dominican_republic,2043
12765292.04,dominican_republic,2044
12814317.71,dominican_republic,2045
12851625.81,dominican_republic,2046
12888933.9,dominican_republic,2047
12926242,dominican_republic,2048
12963550.1,dominican_republic,2049
13000858.2,dominican_republic,2050
9786072.58,ecuador,2015
9921311.743,ecuador,2016
10056550.91,ecuador,2017
10191790.07,ecuador,2018
10327029.23,ecuador,2019
10462268.4,ecuador,2020
10593858.91,ecuador,2021
10725449.43,ecuador,2022
10857039.95,ecuador,2023
10988630.47,ecuador,2024
11120220.98,ecuador,2025
11242756.08,ecuador,2026
11365291.18,ecuador,2027
11487826.28,ecuador,2028
11610361.37,ecuador,2029
11732896.47,ecuador,2030
11845349.89,ecuador,2031
11957803.31,ecuador,2032
12070256.73,ecuador,2033
12182710.15,ecuador,2034
12295163.56,ecuador,2035
12397141.26,ecuador,2036
12499118.95,ecuador,2037
12601096.65,ecuador,2038
12703074.34,ecuador,2039
12805052.04,ecuador,2040
12893762.4,ecuador,2041
12982472.77,ecuador,2042
13071183.14,ecuador,2043
13159893.5,ecuador,2044
13248603.87,ecuador,2045
13324305.44,ecuador,2046
13400007.01,ecuador,2047
13475708.58,ecuador,2048
13551410.15,ecuador,2049
13627111.72,ecuador,2050
7989207.648,guatemala,2015
8211910.687,guatemala,2016
8434613.726,guatemala,2017
8657316.766,guatemala,2018
8880019.805,guatemala,2019
9102722.845,guatemala,2020
9325668.642,guatemala,2021
9548614.439,guatemala,2022
9771560.236,guatemala,2023
9994506.032,guatemala,2024
10217451.83,guatemala,2025
10445315.84,guatemala,2026
10673179.85,guatemala,2027
10901043.85,guatemala,2028
11128907.86,guatemala,2029
11356771.87,guatemala,2030
11583649.47,guatemala,2031
11810527.07,guatemala,2032
12037404.68,guatemala,2033
12264282.28,guatemala,2034
12491159.88,guatemala,2035
12711695.38,guatemala,2036
12932230.87,guatemala,2037
13152766.37,guatemala,2038
13373301.86,guatemala,2039
13593837.35,guatemala,2040
13810905.69,guatemala,2041
14027974.02,guatemala,2042
14245042.36,guatemala,2043
14462110.7,guatemala,2044
14679179.03,guatemala,2045
14888994.78,guatemala,2046
15098810.52,guatemala,2047
15308626.26,guatemala,2048
15518442,guatemala,2049
15728257.74,guatemala,2050
201746.7969,guyana,2015
203208.9319,guyana,2016
204671.0669,guyana,2017
206133.2019,guyana,2018
207595.3369,guyana,2019
209057.4719,guyana,2020
209973.3326,guyana,2021
210889.1933,guyana,2022
211805.054,guyana,2023
212720.9148,guyana,2024
213636.7755,guyana,2025
214192.4414,guyana,2026
214748.1074,guyana,2027
215303.7733,guyana,2028
215859.4393,guyana,2029
216415.1053,guyana,2030
216638.3259,guyana,2031
216861.5466,guyana,2032
217084.7673,guyana,2033
217307.988,guyana,2034
217531.2087,guyana,2035
217423.3742,guyana,2036
217315.5397,guyana,2037
217207.7051,guyana,2038
217099.8706,guyana,2039
216992.0361,guyana,2040
216611.2553,guyana,2041
216230.4745,guyana,2042
215849.6938,guyana,2043
215468.913,guyana,2044
215088.1322,guyana,2045
214538.7031,guyana,2046
213989.274,guyana,2047
213439.8449,guyana,2048
212890.4158,guyana,2049
212340.9867,guyana,2050
4567483.278,honduras,2015
4689145.676,honduras,2016
4810808.074,honduras,2017
4932470.472,honduras,2018
5054132.87,honduras,2019
5175795.268,honduras,2020
5303003.891,honduras,2021
5430212.514,honduras,2022
5557421.137,honduras,2023
5684629.76,honduras,2024
5811838.384,honduras,2025
5938671.326,honduras,2026
6065504.268,honduras,2027
6192337.21,honduras,2028
6319170.152,honduras,2029
6446003.094,honduras,2030
6572692.359,honduras,2031
6699381.624,honduras,2032
6826070.889,honduras,2033
6952760.154,honduras,2034
7079449.419,honduras,2035
7204724.599,honduras,2036
7329999.778,honduras,2037
7455274.957,honduras,2038
7580550.136,honduras,2039
7705825.315,honduras,2040
7826420.721,honduras,2041
7947016.126,honduras,2042
8067611.532,honduras,2043
8188206.937,honduras,2044
8308802.343,honduras,2045
8423813.579,honduras,2046
8538824.816,honduras,2047
8653836.053,honduras,2048
8768847.29,honduras,2049
8883858.526,honduras,2050
5535431.88,haiti,2015
5689971.895,haiti,2016
5844511.911,haiti,2017
5999051.926,haiti,2018
6153591.941,haiti,2019
6308131.957,haiti,2020
6468304.218,haiti,2021
6628476.479,haiti,2022
6788648.739,haiti,2023
6948821,haiti,2024
7108993.261,haiti,2025
7268935.528,haiti,2026
7428877.795,haiti,2027
7588820.063,haiti,2028
7748762.33,haiti,2029
7908704.597,haiti,2030
8065463.5,haiti,2031
8222222.403,haiti,2032
8378981.307,haiti,2033
8535740.21,haiti,2034
8692499.113,haiti,2035
8846013.841,haiti,2036
8999528.568,haiti,2037
9153043.295,haiti,2038
9306558.023,haiti,2039
9460072.75,haiti,2040
9607244.547,haiti,2041
9754416.345,haiti,2042
9901588.142,haiti,2043
10048759.94,haiti,2044
10195931.74,haiti,2045
10333132.56,haiti,2046
10470333.38,haiti,2047
10607534.21,haiti,2048
10744735.03,haiti,2049
10881935.85,haiti,2050
1529976.04,jamaica,2015
1541645.37,jamaica,2016
1553314.7,jamaica,2017
1564984.03,jamaica,2018
1576653.36,jamaica,2019
1588322.69,jamaica,2020
1598461.655,jamaica,2021
1608600.621,jamaica,2022
1618739.586,jamaica,2023
1628878.551,jamaica,2024
1639017.517,jamaica,2025
1646989.697,jamaica,2026
1654961.877,jamaica,2027
1662934.058,jamaica,2028
1670906.238,jamaica,2029
1678878.418,jamaica,2030
1685077.595,jamaica,2031
1691276.771,jamaica,2032
1697475.948,jamaica,2033
1703675.125,jamaica,2034
1709874.301,jamaica,2035
1714414.154,jamaica,2036
1718954.007,jamaica,2037
1723493.859,jamaica,2038
1728033.712,jamaica,2039
1732573.565,jamaica,2040
1735554.517,jamaica,2041
1738535.47,jamaica,2042
1741516.422,jamaica,2043
1744497.375,jamaica,2044
1747478.327,jamaica,2045
1748439.816,jamaica,2046
1749401.305,jamaica,2047
1750362.794,jamaica,2048
1751324.282,jamaica,2049
1752285.771,jamaica,2050
95114245.65,mexico,2015
96533002.67,mexico,2016
97951759.68,mexico,2017
99370516.7,mexico,2018
100789273.7,mexico,2019
102208030.7,mexico,2020
103543169.3,mexico,2021
104878307.9,mexico,2022
106213446.4,mexico,2023
107548585,mexico,2024
108883723.5,mexico,2025
110138257,mexico,2026
111392790.4,mexico,2027
112647323.8,mexico,2028
113901857.2,mexico,2029
115156390.6,mexico,2030
116309654.2,mexico,2031
117462917.7,mexico,2032
118616181.3,mexico,2033
119769444.9,mexico,2034
120922708.5,mexico,2035
121967891.4,mexico,2036
123013074.3,mexico,2037
124058257.3,mexico,2038
125103440.2,mexico,2039
126148623.1,mexico,2040
127074969.3,mexico,2041
128001315.5,mexico,2042
128927661.6,mexico,2043
129854007.8,mexico,2044
130780354,mexico,2045
131582086.8,mexico,2046
132383819.6,mexico,2047
133185552.4,mexico,2048
133987285.3,mexico,2049
134789018.1,mexico,2050
3532228.489,nicaragua,2015
3576916.476,nicaragua,2016
3621604.464,nicaragua,2017
3666292.452,nicaragua,2018
3710980.439,nicaragua,2019
3755668.427,nicaragua,2020
3794865.937,nicaragua,2021
3834063.447,nicaragua,2022
3873260.958,nicaragua,2023
3912458.468,nicaragua,2024
3951655.979,nicaragua,2025
3986669.758,nicaragua,2026
4021683.536,nicaragua,2027
4056697.315,nicaragua,2028
4091711.094,nicaragua,2029
4126724.873,nicaragua,2030
4157164.503,nicaragua,2031
4187604.133,nicaragua,2032
4218043.763,nicaragua,2033
4248483.393,nicaragua,2034
4278923.023,nicaragua,2035
4304022.397,nicaragua,2036
4329121.77,nicaragua,2037
4354221.144,nicaragua,2038
4379320.518,nicaragua,2039
4404419.892,nicaragua,2040
4424487.808,nicaragua,2041
4444555.724,nicaragua,2042
4464623.64,nicaragua,2043
4484691.556,nicaragua,2044
4504759.473,nicaragua,2045
4519792.641,nicaragua,2046
4534825.81,nicaragua,2047
4549858.979,nicaragua,2048
4564892.148,nicaragua,2049
4579925.316,nicaragua,2050
2518317.957,panama,2015
2561643.506,panama,2016
2604969.055,panama,2017
2648294.605,panama,2018
2691620.154,panama,2019
2734945.703,panama,2020
2779026.773,panama,2021
2823107.844,panama,2022
2867188.914,panama,2023
2911269.984,panama,2024
2955351.054,panama,2025
2998583.155,panama,2026
3041815.255,panama,2027
3085047.356,panama,2028
3128279.456,panama,2029
3171511.557,panama,2030
3212528.749,panama,2031
3253545.941,panama,2032
3294563.132,panama,2033
3335580.324,panama,2034
3376597.516,panama,2035
3415416.953,panama,2036
3454236.39,panama,2037
3493055.827,panama,2038
3531875.264,panama,2039
3570694.701,panama,2040
3606329.095,panama,2041
3641963.489,panama,2042
3677597.883,panama,2043
3713232.277,panama,2044
3748866.671,panama,2045
3780983.462,panama,2046
3813100.253,panama,2047
3845217.044,panama,2048
3877333.835,panama,2049
3909450.627,panama,2050
23490161.08,peru,2015
23696608.06,peru,2016
23903055.04,peru,2017
24109502.01,peru,2018
24315948.99,peru,2019
24522395.97,peru,2020
24710801.56,peru,2021
24899207.15,peru,2022
25087612.75,peru,2023
25276018.34,peru,2024
25464423.93,peru,2025
25627324.9,peru,2026
25790225.87,peru,2027
25953126.84,peru,2028
26116027.8,peru,2029
26278928.77,peru,2030
26409840.16,peru,2031
26540751.55,peru,2032
26671662.94,peru,2033
26802574.33,peru,2034
26933485.71,peru,2035
27034847.99,peru,2036
27136210.26,peru,2037
27237572.54,peru,2038
27338934.81,peru,2039
27440297.08,peru,2040
27509826.08,peru,2041
27579355.08,peru,2042
27648884.08,peru,2043
27718413.07,peru,2044
27787942.07,peru,2045
27824410.77,peru,2046
27860879.48,peru,2047
27897348.19,peru,2048
27933816.89,peru,2049
27970285.6,peru,2050
4243972.295,paraguay,2015
4325400.209,paraguay,2016
4406828.122,paraguay,2017
4488256.036,paraguay,2018
4569683.949,paraguay,2019
4651111.863,paraguay,2020
4732521.307,paraguay,2021
4813930.751,paraguay,2022
4895340.195,paraguay,2023
4976749.639,paraguay,2024
5058159.082,paraguay,2025
5136766.08,paraguay,2026
5215373.077,paraguay,2027
5293980.075,paraguay,2028
5372587.072,paraguay,2029
5451194.069,paraguay,2030
5527095,paraguay,2031
5602995.931,paraguay,2032
5678896.861,paraguay,2033
5754797.792,paraguay,2034
5830698.723,paraguay,2035
5902905.724,paraguay,2036
5975112.725,paraguay,2037
6047319.726,paraguay,2038
6119526.727,paraguay,2039
6191733.729,paraguay,2040
6259008.339,paraguay,2041
6326282.949,paraguay,2042
6393557.559,paraguay,2043
6460832.17,paraguay,2044
6528106.78,paraguay,2045
6589737.3,paraguay,2046
6651367.819,paraguay,2047
6712998.339,paraguay,2048
6774628.859,paraguay,2049
6836259.379,paraguay,2050
4393785.873,el_salvador,2015
4446966.174,el_salvador,2016
4500146.474,el_salvador,2017
4553326.774,el_salvador,2018
4606507.074,el_salvador,2019
4659687.374,el_salvador,2020
4711438.801,el_salvador,2021
4763190.228,el_salvador,2022
4814941.655,el_salvador,2023
4866693.082,el_salvador,2024
4918444.509,el_salvador,2025
4963309.134,el_salvador,2026
5008173.758,el_salvador,2027
5053038.383,el_salvador,2028
5097903.007,el_salvador,2029
5142767.631,el_salvador,2030
5182994.45,el_salvador,2031
5223221.269,el_salvador,2032
5263448.088,el_salvador,2033
5303674.907,el_salvador,2034
5343901.725,el_salvador,2035
5380029.127,el_salvador,2036
5416156.529,el_salvador,2037
5452283.931,el_salvador,2038
5488411.333,el_salvador,2039
5524538.735,el_salvador,2040
5554582.812,el_salvador,2041
5584626.888,el_salvador,2042
5614670.965,el_salvador,2043
5644715.042,el_salvador,2044
5674759.119,el_salvador,2045
5697941.933,el_salvador,2046
5721124.748,el_salvador,2047
5744307.562,el_salvador,2048
5767490.377,el_salvador,2049
5790673.191,el_salvador,2050
362385.0738,suriname,2015
365400.9833,suriname,2016
368416.8928,suriname,2017
371432.8023,suriname,2018
374448.7119,suriname,2019
377464.6214,suriname,2020
381982.5523,suriname,2021
386500.4832,suriname,2022
391018.4142,suriname,2023
395536.3451,suriname,2024
400054.276,suriname,2025
404369.6705,suriname,2026
408685.0651,suriname,2027
413000.4596,suriname,2028
417315.8541,suriname,2029
421631.2486,suriname,2030
425635.1683,suriname,2031
429639.0881,suriname,2032
433643.0078,suriname,2033
437646.9275,suriname,2034
441650.8473,suriname,2035
445270.1518,suriname,2036
448889.4563,suriname,2037
452508.7608,suriname,2038
456128.0653,suriname,2039
459747.3697,suriname,2040
463023.6598,suriname,2041
466299.9499,suriname,2042
469576.24,suriname,2043
472852.5301,suriname,2044
476128.8201,suriname,2045
479099.9967,suriname,2046
482071.1733,suriname,2047
485042.3498,suriname,2048
488013.5264,suriname,2049
490984.7029,suriname,2050
725517.7565,trinidad_and_tobago,2015
725795.335,trinidad_and_tobago,2016
726072.9134,trinidad_and_tobago,2017
726350.4919,trinidad_and_tobago,2018
726628.0703,trinidad_and_tobago,2019
726905.6488,trinidad_and_tobago,2020
730708.8185,trinidad_and_tobago,2021
734511.9883,trinidad_and_tobago,2022
738315.158,trinidad_and_tobago,2023
742118.3278,trinidad_and_tobago,2024
745921.4976,trinidad_and_tobago,2025
748609.6316,trinidad_and_tobago,2026
751297.7657,trinidad_and_tobago,2027
753985.8997,trinidad_and_tobago,2028
756674.0338,trinidad_and_tobago,2029
759362.1679,trinidad_and_tobago,2030
761243.84,trinidad_and_tobago,2031
763125.512,trinidad_and_tobago,2032
765007.1841,trinidad_and_tobago,2033
766888.8562,trinidad_and_tobago,2034
768770.5283,trinidad_and_tobago,2035
769709.1274,trinidad_and_tobago,2036
770647.7266,trinidad_and_tobago,2037
771586.3257,trinidad_and_tobago,2038
772524.9248,trinidad_and_tobago,2039
773463.524,trinidad_and_tobago,2040
773307.7602,trinidad_and_tobago,2041
773151.9965,trinidad_and_tobago,2042
772996.2328,trinidad_and_tobago,2043
772840.469,trinidad_and_tobago,2044
772684.7053,trinidad_and_tobago,2045
771374.4448,trinidad_and_tobago,2046
770064.1843,trinidad_and_tobago,2047
768753.9238,trinidad_and_tobago,2048
767443.6633,trinidad_and_tobago,2049
766133.4028,trinidad_and_tobago,2050
3233446.442,uruguay,2015
3244552.792,uruguay,2016
3255659.142,uruguay,2017
3266765.493,uruguay,2018
3277871.843,uruguay,2019
3288978.193,uruguay,2020
3297568.759,uruguay,2021
3306159.325,uruguay,2022
3314749.891,uruguay,2023
3323340.457,uruguay,2024
3331931.023,uruguay,2025
3338469.431,uruguay,2026
3345007.838,uruguay,2027
3351546.246,uruguay,2028
3358084.653,uruguay,2029
3364623.061,uruguay,2030
3368293.03,uruguay,2031
3371962.998,uruguay,2032
3375632.967,uruguay,2033
3379302.936,uruguay,2034
3382972.905,uruguay,2035
3383789.744,uruguay,2036
3384606.583,uruguay,2037
3385423.423,uruguay,2038
3386240.262,uruguay,2039
3387057.102,uruguay,2040
3385142.947,uruguay,2041
3383228.792,uruguay,2042
3381314.637,uruguay,2043
3379400.482,uruguay,2044
3377486.326,uruguay,2045
3361812.599,uruguay,2046
3346138.872,uruguay,2047
3330465.145,uruguay,2048
3314791.417,uruguay,2049
3299117.69,uruguay,2050
27471024.98,venezuela,2015
27820603.13,venezuela,2016
28170181.28,venezuela,2017
28519759.42,venezuela,2018
28869337.57,venezuela,2019
29218915.71,venezuela,2020
29653337.53,venezuela,2021
30087759.35,venezuela,2022
30522181.17,venezuela,2023
30956602.99,venezuela,2024
31391024.81,venezuela,2025
31808828.83,venezuela,2026
32226632.84,venezuela,2027
32644436.86,venezuela,2028
33062240.88,venezuela,2029
33480044.9,venezuela,2030
33868305.24,venezuela,2031
34256565.57,venezuela,2032
34644825.91,venezuela,2033
35033086.25,venezuela,2034
35421346.59,venezuela,2035
35777479.21,venezuela,2036
36133611.84,venezuela,2037
36489744.47,venezuela,2038
36845877.1,venezuela,2039
37202009.73,venezuela,2040
37524351.52,venezuela,2041
37846693.32,venezuela,2042
38169035.12,venezuela,2043
38491376.91,venezuela,2044
38813718.71,venezuela,2045
39098431.84,venezuela,2046
39383144.98,venezuela,2047
39667858.11,venezuela,2048
39952571.24,venezuela,2049
40237284.37,venezuela,2050
