Nation,Year,prodinit_ippu_chemicals_tonne
argentina,1990,31023.53119
argentina,1991,31023.53119
argentina,1992,31023.53119
argentina,1993,31023.53119
argentina,1994,31023.53119
argentina,1995,31023.53119
argentina,1996,31023.53119
argentina,1997,31023.53119
argentina,1998,31023.53119
argentina,1999,31023.53119
argentina,2000,31023.53119
argentina,2001,31023.53119
argentina,2002,31023.53119
argentina,2003,31023.53119
argentina,2004,31023.53119
argentina,2005,31023.53119
argentina,2006,31023.53119
argentina,2007,31023.53119
argentina,2008,31023.53119
argentina,2009,31023.53119
argentina,2010,31023.53119
argentina,2011,31023.53119
argentina,2012,31023.53119
argentina,2013,31023.53119
argentina,2014,31023.53119
argentina,2015,31023.53119
argentina,2016,31023.53119
argentina,2017,31023.53119
argentina,2018,31023.53119
argentina,2019,31023.53119
bahamas,1990,329.5194763
bahamas,1991,329.5194763
bahamas,1992,329.5194763
bahamas,1993,329.5194763
bahamas,1994,329.5194763
bahamas,1995,329.5194763
bahamas,1996,329.5194763
bahamas,1997,329.5194763
bahamas,1998,329.5194763
bahamas,1999,329.5194763
bahamas,2000,329.5194763
bahamas,2001,329.5194763
bahamas,2002,329.5194763
bahamas,2003,329.5194763
bahamas,2004,329.5194763
bahamas,2005,329.5194763
bahamas,2006,329.5194763
bahamas,2007,329.5194763
bahamas,2008,329.5194763
bahamas,2009,329.5194763
bahamas,2010,329.5194763
bahamas,2011,329.5194763
bahamas,2012,329.5194763
bahamas,2013,329.5194763
bahamas,2014,329.5194763
bahamas,2015,329.5194763
bahamas,2016,329.5194763
bahamas,2017,329.5194763
bahamas,2018,329.5194763
bahamas,2019,329.5194763
barbados,1990,143.36128159999998
barbados,1991,143.36128159999998
barbados,1992,143.36128159999998
barbados,1993,143.36128159999998
barbados,1994,143.36128159999998
barbados,1995,143.36128159999998
barbados,1996,143.36128159999998
barbados,1997,143.36128159999998
barbados,1998,143.36128159999998
barbados,1999,143.36128159999998
barbados,2000,143.36128159999998
barbados,2001,143.36128159999998
barbados,2002,143.36128159999998
barbados,2003,143.36128159999998
barbados,2004,143.36128159999998
barbados,2005,143.36128159999998
barbados,2006,143.36128159999998
barbados,2007,143.36128159999998
barbados,2008,143.36128159999998
barbados,2009,143.36128159999998
barbados,2010,143.36128159999998
barbados,2011,143.36128159999998
barbados,2012,143.36128159999998
barbados,2013,143.36128159999998
barbados,2014,143.36128159999998
barbados,2015,143.36128159999998
barbados,2016,143.36128159999998
barbados,2017,143.36128159999998
barbados,2018,143.36128159999998
barbados,2019,143.36128159999998
belize,1990,18.56618447
belize,1991,18.56618447
belize,1992,18.56618447
belize,1993,18.56618447
belize,1994,18.56618447
belize,1995,18.56618447
belize,1996,18.56618447
belize,1997,18.56618447
belize,1998,18.56618447
belize,1999,18.56618447
belize,2000,18.56618447
belize,2001,18.56618447
belize,2002,18.56618447
belize,2003,18.56618447
belize,2004,18.56618447
belize,2005,18.56618447
belize,2006,18.56618447
belize,2007,18.56618447
belize,2008,18.56618447
belize,2009,18.56618447
belize,2010,18.56618447
belize,2011,18.56618447
belize,2012,18.56618447
belize,2013,18.56618447
belize,2014,18.56618447
belize,2015,18.56618447
belize,2016,18.56618447
belize,2017,18.56618447
belize,2018,18.56618447
belize,2019,18.56618447
bolivia,1990,817.260022
bolivia,1991,817.260022
bolivia,1992,817.260022
bolivia,1993,817.260022
bolivia,1994,817.260022
bolivia,1995,817.260022
bolivia,1996,817.260022
bolivia,1997,817.260022
bolivia,1998,817.260022
bolivia,1999,817.260022
bolivia,2000,817.260022
bolivia,2001,817.260022
bolivia,2002,817.260022
bolivia,2003,817.260022
bolivia,2004,817.260022
bolivia,2005,817.260022
bolivia,2006,817.260022
bolivia,2007,817.260022
bolivia,2008,817.260022
bolivia,2009,817.260022
bolivia,2010,817.260022
bolivia,2011,817.260022
bolivia,2012,817.260022
bolivia,2013,817.260022
bolivia,2014,817.260022
bolivia,2015,817.260022
bolivia,2016,817.260022
bolivia,2017,817.260022
bolivia,2018,817.260022
bolivia,2019,817.260022
brazil,1990,108097.6812
brazil,1991,108097.6812
brazil,1992,108097.6812
brazil,1993,108097.6812
brazil,1994,108097.6812
brazil,1995,108097.6812
brazil,1996,108097.6812
brazil,1997,108097.6812
brazil,1998,108097.6812
brazil,1999,108097.6812
brazil,2000,108097.6812
brazil,2001,108097.6812
brazil,2002,108097.6812
brazil,2003,108097.6812
brazil,2004,108097.6812
brazil,2005,108097.6812
brazil,2006,108097.6812
brazil,2007,108097.6812
brazil,2008,108097.6812
brazil,2009,108097.6812
brazil,2010,108097.6812
brazil,2011,108097.6812
brazil,2012,108097.6812
brazil,2013,108097.6812
brazil,2014,108097.6812
brazil,2015,108097.6812
brazil,2016,108097.6812
brazil,2017,108097.6812
brazil,2018,108097.6812
brazil,2019,108097.6812
chile,1990,18601.69628
chile,1991,18601.69628
chile,1992,18601.69628
chile,1993,18601.69628
chile,1994,18601.69628
chile,1995,18601.69628
chile,1996,18601.69628
chile,1997,18601.69628
chile,1998,18601.69628
chile,1999,18601.69628
chile,2000,18601.69628
chile,2001,18601.69628
chile,2002,18601.69628
chile,2003,18601.69628
chile,2004,18601.69628
chile,2005,18601.69628
chile,2006,18601.69628
chile,2007,18601.69628
chile,2008,18601.69628
chile,2009,18601.69628
chile,2010,18601.69628
chile,2011,18601.69628
chile,2012,18601.69628
chile,2013,18601.69628
chile,2014,18601.69628
chile,2015,18601.69628
chile,2016,18601.69628
chile,2017,18601.69628
chile,2018,18601.69628
chile,2019,18601.69628
colombia,1990,19794.20265
colombia,1991,19794.20265
colombia,1992,19794.20265
colombia,1993,19794.20265
colombia,1994,19794.20265
colombia,1995,19794.20265
colombia,1996,19794.20265
colombia,1997,19794.20265
colombia,1998,19794.20265
colombia,1999,19794.20265
colombia,2000,19794.20265
colombia,2001,19794.20265
colombia,2002,19794.20265
colombia,2003,19794.20265
colombia,2004,19794.20265
colombia,2005,19794.20265
colombia,2006,19794.20265
colombia,2007,19794.20265
colombia,2008,19794.20265
colombia,2009,19794.20265
colombia,2010,19794.20265
colombia,2011,19794.20265
colombia,2012,19794.20265
colombia,2013,19794.20265
colombia,2014,19794.20265
colombia,2015,19794.20265
colombia,2016,19794.20265
colombia,2017,19794.20265
colombia,2018,19794.20265
colombia,2019,19794.20265
costa_rica,1990,3419.9699
costa_rica,1991,3419.9699
costa_rica,1992,3419.9699
costa_rica,1993,3419.9699
costa_rica,1994,3419.9699
costa_rica,1995,3419.9699
costa_rica,1996,3419.9699
costa_rica,1997,3419.9699
costa_rica,1998,3419.9699
costa_rica,1999,3419.9699
costa_rica,2000,3419.9699
costa_rica,2001,3419.9699
costa_rica,2002,3419.9699
costa_rica,2003,3419.9699
costa_rica,2004,3419.9699
costa_rica,2005,3419.9699
costa_rica,2006,3419.9699
costa_rica,2007,3419.9699
costa_rica,2008,3419.9699
costa_rica,2009,3419.9699
costa_rica,2010,3419.9699
costa_rica,2011,3419.9699
costa_rica,2012,3419.9699
costa_rica,2013,3419.9699
costa_rica,2014,3419.9699
costa_rica,2015,3419.9699
costa_rica,2016,3419.9699
costa_rica,2017,3419.9699
costa_rica,2018,3419.9699
costa_rica,2019,3419.9699
dominican_republic,1990,2144.056028
dominican_republic,1991,2144.056028
dominican_republic,1992,2144.056028
dominican_republic,1993,2144.056028
dominican_republic,1994,2144.056028
dominican_republic,1995,2144.056028
dominican_republic,1996,2144.056028
dominican_republic,1997,2144.056028
dominican_republic,1998,2144.056028
dominican_republic,1999,2144.056028
dominican_republic,2000,2144.056028
dominican_republic,2001,2144.056028
dominican_republic,2002,2144.056028
dominican_republic,2003,2144.056028
dominican_republic,2004,2144.056028
dominican_republic,2005,2144.056028
dominican_republic,2006,2144.056028
dominican_republic,2007,2144.056028
dominican_republic,2008,2144.056028
dominican_republic,2009,2144.056028
dominican_republic,2010,2144.056028
dominican_republic,2011,2144.056028
dominican_republic,2012,2144.056028
dominican_republic,2013,2144.056028
dominican_republic,2014,2144.056028
dominican_republic,2015,2144.056028
dominican_republic,2016,2144.056028
dominican_republic,2017,2144.056028
dominican_republic,2018,2144.056028
dominican_republic,2019,2144.056028
ecuador,1990,703.7384845
ecuador,1991,703.7384845
ecuador,1992,703.7384845
ecuador,1993,703.7384845
ecuador,1994,703.7384845
ecuador,1995,703.7384845
ecuador,1996,703.7384845
ecuador,1997,703.7384845
ecuador,1998,703.7384845
ecuador,1999,703.7384845
ecuador,2000,703.7384845
ecuador,2001,703.7384845
ecuador,2002,703.7384845
ecuador,2003,703.7384845
ecuador,2004,703.7384845
ecuador,2005,703.7384845
ecuador,2006,703.7384845
ecuador,2007,703.7384845
ecuador,2008,703.7384845
ecuador,2009,703.7384845
ecuador,2010,703.7384845
ecuador,2011,703.7384845
ecuador,2012,703.7384845
ecuador,2013,703.7384845
ecuador,2014,703.7384845
ecuador,2015,703.7384845
ecuador,2016,703.7384845
ecuador,2017,703.7384845
ecuador,2018,703.7384845
ecuador,2019,703.7384845
el_salvador,1990,1778.332718
el_salvador,1991,1778.332718
el_salvador,1992,1778.332718
el_salvador,1993,1778.332718
el_salvador,1994,1778.332718
el_salvador,1995,1778.332718
el_salvador,1996,1778.332718
el_salvador,1997,1778.332718
el_salvador,1998,1778.332718
el_salvador,1999,1778.332718
el_salvador,2000,1778.332718
el_salvador,2001,1778.332718
el_salvador,2002,1778.332718
el_salvador,2003,1778.332718
el_salvador,2004,1778.332718
el_salvador,2005,1778.332718
el_salvador,2006,1778.332718
el_salvador,2007,1778.332718
el_salvador,2008,1778.332718
el_salvador,2009,1778.332718
el_salvador,2010,1778.332718
el_salvador,2011,1778.332718
el_salvador,2012,1778.332718
el_salvador,2013,1778.332718
el_salvador,2014,1778.332718
el_salvador,2015,1778.332718
el_salvador,2016,1778.332718
el_salvador,2017,1778.332718
el_salvador,2018,1778.332718
el_salvador,2019,1778.332718
guatemala,1990,7895.016767000001
guatemala,1991,7895.016767000001
guatemala,1992,7895.016767000001
guatemala,1993,7895.016767000001
guatemala,1994,7895.016767000001
guatemala,1995,7895.016767000001
guatemala,1996,7895.016767000001
guatemala,1997,7895.016767000001
guatemala,1998,7895.016767000001
guatemala,1999,7895.016767000001
guatemala,2000,7895.016767000001
guatemala,2001,7895.016767000001
guatemala,2002,7895.016767000001
guatemala,2003,7895.016767000001
guatemala,2004,7895.016767000001
guatemala,2005,7895.016767000001
guatemala,2006,7895.016767000001
guatemala,2007,7895.016767000001
guatemala,2008,7895.016767000001
guatemala,2009,7895.016767000001
guatemala,2010,7895.016767000001
guatemala,2011,7895.016767000001
guatemala,2012,7895.016767000001
guatemala,2013,7895.016767000001
guatemala,2014,7895.016767000001
guatemala,2015,7895.016767000001
guatemala,2016,7895.016767000001
guatemala,2017,7895.016767000001
guatemala,2018,7895.016767000001
guatemala,2019,7895.016767000001
guyana,1990,23.368802199999998
guyana,1991,23.368802199999998
guyana,1992,23.368802199999998
guyana,1993,23.368802199999998
guyana,1994,23.368802199999998
guyana,1995,23.368802199999998
guyana,1996,23.368802199999998
guyana,1997,23.368802199999998
guyana,1998,23.368802199999998
guyana,1999,23.368802199999998
guyana,2000,23.368802199999998
guyana,2001,23.368802199999998
guyana,2002,23.368802199999998
guyana,2003,23.368802199999998
guyana,2004,23.368802199999998
guyana,2005,23.368802199999998
guyana,2006,23.368802199999998
guyana,2007,23.368802199999998
guyana,2008,23.368802199999998
guyana,2009,23.368802199999998
guyana,2010,23.368802199999998
guyana,2011,23.368802199999998
guyana,2012,23.368802199999998
guyana,2013,23.368802199999998
guyana,2014,23.368802199999998
guyana,2015,23.368802199999998
guyana,2016,23.368802199999998
guyana,2017,23.368802199999998
guyana,2018,23.368802199999998
guyana,2019,23.368802199999998
haiti,1990,686.7377041
haiti,1991,686.7377041
haiti,1992,686.7377041
haiti,1993,686.7377041
haiti,1994,686.7377041
haiti,1995,686.7377041
haiti,1996,686.7377041
haiti,1997,686.7377041
haiti,1998,686.7377041
haiti,1999,686.7377041
haiti,2000,686.7377041
haiti,2001,686.7377041
haiti,2002,686.7377041
haiti,2003,686.7377041
haiti,2004,686.7377041
haiti,2005,686.7377041
haiti,2006,686.7377041
haiti,2007,686.7377041
haiti,2008,686.7377041
haiti,2009,686.7377041
haiti,2010,686.7377041
haiti,2011,686.7377041
haiti,2012,686.7377041
haiti,2013,686.7377041
haiti,2014,686.7377041
haiti,2015,686.7377041
haiti,2016,686.7377041
haiti,2017,686.7377041
haiti,2018,686.7377041
haiti,2019,686.7377041
honduras,1990,739.178966
honduras,1991,739.178966
honduras,1992,739.178966
honduras,1993,739.178966
honduras,1994,739.178966
honduras,1995,739.178966
honduras,1996,739.178966
honduras,1997,739.178966
honduras,1998,739.178966
honduras,1999,739.178966
honduras,2000,739.178966
honduras,2001,739.178966
honduras,2002,739.178966
honduras,2003,739.178966
honduras,2004,739.178966
honduras,2005,739.178966
honduras,2006,739.178966
honduras,2007,739.178966
honduras,2008,739.178966
honduras,2009,739.178966
honduras,2010,739.178966
honduras,2011,739.178966
honduras,2012,739.178966
honduras,2013,739.178966
honduras,2014,739.178966
honduras,2015,739.178966
honduras,2016,739.178966
honduras,2017,739.178966
honduras,2018,739.178966
honduras,2019,739.178966
jamaica,1990,2835.2860319999995
jamaica,1991,2835.2860319999995
jamaica,1992,2835.2860319999995
jamaica,1993,2835.2860319999995
jamaica,1994,2835.2860319999995
jamaica,1995,2835.2860319999995
jamaica,1996,2835.2860319999995
jamaica,1997,2835.2860319999995
jamaica,1998,2835.2860319999995
jamaica,1999,2835.2860319999995
jamaica,2000,2835.2860319999995
jamaica,2001,2835.2860319999995
jamaica,2002,2835.2860319999995
jamaica,2003,2835.2860319999995
jamaica,2004,2835.2860319999995
jamaica,2005,2835.2860319999995
jamaica,2006,2835.2860319999995
jamaica,2007,2835.2860319999995
jamaica,2008,2835.2860319999995
jamaica,2009,2835.2860319999995
jamaica,2010,2835.2860319999995
jamaica,2011,2835.2860319999995
jamaica,2012,2835.2860319999995
jamaica,2013,2835.2860319999995
jamaica,2014,2835.2860319999995
jamaica,2015,2835.2860319999995
jamaica,2016,2835.2860319999995
jamaica,2017,2835.2860319999995
jamaica,2018,2835.2860319999995
jamaica,2019,2835.2860319999995
mexico,1990,37953.65831
mexico,1991,37953.65831
mexico,1992,37953.65831
mexico,1993,37953.65831
mexico,1994,37953.65831
mexico,1995,37953.65831
mexico,1996,37953.65831
mexico,1997,37953.65831
mexico,1998,37953.65831
mexico,1999,37953.65831
mexico,2000,37953.65831
mexico,2001,37953.65831
mexico,2002,37953.65831
mexico,2003,37953.65831
mexico,2004,37953.65831
mexico,2005,37953.65831
mexico,2006,37953.65831
mexico,2007,37953.65831
mexico,2008,37953.65831
mexico,2009,37953.65831
mexico,2010,37953.65831
mexico,2011,37953.65831
mexico,2012,37953.65831
mexico,2013,37953.65831
mexico,2014,37953.65831
mexico,2015,37953.65831
mexico,2016,37953.65831
mexico,2017,37953.65831
mexico,2018,37953.65831
mexico,2019,37953.65831
nicaragua,1990,207.6984987
nicaragua,1991,207.6984987
nicaragua,1992,207.6984987
nicaragua,1993,207.6984987
nicaragua,1994,207.6984987
nicaragua,1995,207.6984987
nicaragua,1996,207.6984987
nicaragua,1997,207.6984987
nicaragua,1998,207.6984987
nicaragua,1999,207.6984987
nicaragua,2000,207.6984987
nicaragua,2001,207.6984987
nicaragua,2002,207.6984987
nicaragua,2003,207.6984987
nicaragua,2004,207.6984987
nicaragua,2005,207.6984987
nicaragua,2006,207.6984987
nicaragua,2007,207.6984987
nicaragua,2008,207.6984987
nicaragua,2009,207.6984987
nicaragua,2010,207.6984987
nicaragua,2011,207.6984987
nicaragua,2012,207.6984987
nicaragua,2013,207.6984987
nicaragua,2014,207.6984987
nicaragua,2015,207.6984987
nicaragua,2016,207.6984987
nicaragua,2017,207.6984987
nicaragua,2018,207.6984987
nicaragua,2019,207.6984987
panama,1990,1512.0576819999999
panama,1991,1512.0576819999999
panama,1992,1512.0576819999999
panama,1993,1512.0576819999999
panama,1994,1512.0576819999999
panama,1995,1512.0576819999999
panama,1996,1512.0576819999999
panama,1997,1512.0576819999999
panama,1998,1512.0576819999999
panama,1999,1512.0576819999999
panama,2000,1512.0576819999999
panama,2001,1512.0576819999999
panama,2002,1512.0576819999999
panama,2003,1512.0576819999999
panama,2004,1512.0576819999999
panama,2005,1512.0576819999999
panama,2006,1512.0576819999999
panama,2007,1512.0576819999999
panama,2008,1512.0576819999999
panama,2009,1512.0576819999999
panama,2010,1512.0576819999999
panama,2011,1512.0576819999999
panama,2012,1512.0576819999999
panama,2013,1512.0576819999999
panama,2014,1512.0576819999999
panama,2015,1512.0576819999999
panama,2016,1512.0576819999999
panama,2017,1512.0576819999999
panama,2018,1512.0576819999999
panama,2019,1512.0576819999999
paraguay,1990,546.8811539999999
paraguay,1991,546.8811539999999
paraguay,1992,546.8811539999999
paraguay,1993,546.8811539999999
paraguay,1994,546.8811539999999
paraguay,1995,546.8811539999999
paraguay,1996,546.8811539999999
paraguay,1997,546.8811539999999
paraguay,1998,546.8811539999999
paraguay,1999,546.8811539999999
paraguay,2000,546.8811539999999
paraguay,2001,546.8811539999999
paraguay,2002,546.8811539999999
paraguay,2003,546.8811539999999
paraguay,2004,546.8811539999999
paraguay,2005,546.8811539999999
paraguay,2006,546.8811539999999
paraguay,2007,546.8811539999999
paraguay,2008,546.8811539999999
paraguay,2009,546.8811539999999
paraguay,2010,546.8811539999999
paraguay,2011,546.8811539999999
paraguay,2012,546.8811539999999
paraguay,2013,546.8811539999999
paraguay,2014,546.8811539999999
paraguay,2015,546.8811539999999
paraguay,2016,546.8811539999999
paraguay,2017,546.8811539999999
paraguay,2018,546.8811539999999
paraguay,2019,546.8811539999999
peru,1990,5465.248496
peru,1991,5465.248496
peru,1992,5465.248496
peru,1993,5465.248496
peru,1994,5465.248496
peru,1995,5465.248496
peru,1996,5465.248496
peru,1997,5465.248496
peru,1998,5465.248496
peru,1999,5465.248496
peru,2000,5465.248496
peru,2001,5465.248496
peru,2002,5465.248496
peru,2003,5465.248496
peru,2004,5465.248496
peru,2005,5465.248496
peru,2006,5465.248496
peru,2007,5465.248496
peru,2008,5465.248496
peru,2009,5465.248496
peru,2010,5465.248496
peru,2011,5465.248496
peru,2012,5465.248496
peru,2013,5465.248496
peru,2014,5465.248496
peru,2015,5465.248496
peru,2016,5465.248496
peru,2017,5465.248496
peru,2018,5465.248496
peru,2019,5465.248496
suriname,1990,10.01610928
suriname,1991,10.01610928
suriname,1992,10.01610928
suriname,1993,10.01610928
suriname,1994,10.01610928
suriname,1995,10.01610928
suriname,1996,10.01610928
suriname,1997,10.01610928
suriname,1998,10.01610928
suriname,1999,10.01610928
suriname,2000,10.01610928
suriname,2001,10.01610928
suriname,2002,10.01610928
suriname,2003,10.01610928
suriname,2004,10.01610928
suriname,2005,10.01610928
suriname,2006,10.01610928
suriname,2007,10.01610928
suriname,2008,10.01610928
suriname,2009,10.01610928
suriname,2010,10.01610928
suriname,2011,10.01610928
suriname,2012,10.01610928
suriname,2013,10.01610928
suriname,2014,10.01610928
suriname,2015,10.01610928
suriname,2016,10.01610928
suriname,2017,10.01610928
suriname,2018,10.01610928
suriname,2019,10.01610928
trinidad_and_tobago,1990,10588.26945
trinidad_and_tobago,1991,10588.26945
trinidad_and_tobago,1992,10588.26945
trinidad_and_tobago,1993,10588.26945
trinidad_and_tobago,1994,10588.26945
trinidad_and_tobago,1995,10588.26945
trinidad_and_tobago,1996,10588.26945
trinidad_and_tobago,1997,10588.26945
trinidad_and_tobago,1998,10588.26945
trinidad_and_tobago,1999,10588.26945
trinidad_and_tobago,2000,10588.26945
trinidad_and_tobago,2001,10588.26945
trinidad_and_tobago,2002,10588.26945
trinidad_and_tobago,2003,10588.26945
trinidad_and_tobago,2004,10588.26945
trinidad_and_tobago,2005,10588.26945
trinidad_and_tobago,2006,10588.26945
trinidad_and_tobago,2007,10588.26945
trinidad_and_tobago,2008,10588.26945
trinidad_and_tobago,2009,10588.26945
trinidad_and_tobago,2010,10588.26945
trinidad_and_tobago,2011,10588.26945
trinidad_and_tobago,2012,10588.26945
trinidad_and_tobago,2013,10588.26945
trinidad_and_tobago,2014,10588.26945
trinidad_and_tobago,2015,10588.26945
trinidad_and_tobago,2016,10588.26945
trinidad_and_tobago,2017,10588.26945
trinidad_and_tobago,2018,10588.26945
trinidad_and_tobago,2019,10588.26945
uruguay,1990,3194.1347299999998
uruguay,1991,3194.1347299999998
uruguay,1992,3194.1347299999998
uruguay,1993,3194.1347299999998
uruguay,1994,3194.1347299999998
uruguay,1995,3194.1347299999998
uruguay,1996,3194.1347299999998
uruguay,1997,3194.1347299999998
uruguay,1998,3194.1347299999998
uruguay,1999,3194.1347299999998
uruguay,2000,3194.1347299999998
uruguay,2001,3194.1347299999998
uruguay,2002,3194.1347299999998
uruguay,2003,3194.1347299999998
uruguay,2004,3194.1347299999998
uruguay,2005,3194.1347299999998
uruguay,2006,3194.1347299999998
uruguay,2007,3194.1347299999998
uruguay,2008,3194.1347299999998
uruguay,2009,3194.1347299999998
uruguay,2010,3194.1347299999998
uruguay,2011,3194.1347299999998
uruguay,2012,3194.1347299999998
uruguay,2013,3194.1347299999998
uruguay,2014,3194.1347299999998
uruguay,2015,3194.1347299999998
uruguay,2016,3194.1347299999998
uruguay,2017,3194.1347299999998
uruguay,2018,3194.1347299999998
uruguay,2019,3194.1347299999998
venezuela,1990,3496.526056
venezuela,1991,3496.526056
venezuela,1992,3496.526056
venezuela,1993,3496.526056
venezuela,1994,3496.526056
venezuela,1995,3496.526056
venezuela,1996,3496.526056
venezuela,1997,3496.526056
venezuela,1998,3496.526056
venezuela,1999,3496.526056
venezuela,2000,3496.526056
venezuela,2001,3496.526056
venezuela,2002,3496.526056
venezuela,2003,3496.526056
venezuela,2004,3496.526056
venezuela,2005,3496.526056
venezuela,2006,3496.526056
venezuela,2007,3496.526056
venezuela,2008,3496.526056
venezuela,2009,3496.526056
venezuela,2010,3496.526056
venezuela,2011,3496.526056
venezuela,2012,3496.526056
venezuela,2013,3496.526056
venezuela,2014,3496.526056
venezuela,2015,3496.526056
venezuela,2016,3496.526056
venezuela,2017,3496.526056
venezuela,2018,3496.526056
venezuela,2019,3496.526056
