Nation,Year,prodinit_ippu_glass_tonne
argentina,1990,1301.137664
argentina,1991,1301.137664
argentina,1992,1301.137664
argentina,1993,1301.137664
argentina,1994,1301.137664
argentina,1995,1301.137664
argentina,1996,1301.137664
argentina,1997,1301.137664
argentina,1998,1301.137664
argentina,1999,1301.137664
argentina,2000,1301.137664
argentina,2001,1301.137664
argentina,2002,1301.137664
argentina,2003,1301.137664
argentina,2004,1301.137664
argentina,2005,1301.137664
argentina,2006,1301.137664
argentina,2007,1301.137664
argentina,2008,1301.137664
argentina,2009,1301.137664
argentina,2010,1301.137664
argentina,2011,1301.137664
argentina,2012,1301.137664
argentina,2013,1301.137664
argentina,2014,1301.137664
argentina,2015,1301.137664
argentina,2016,1301.137664
argentina,2017,1301.137664
argentina,2018,1301.137664
argentina,2019,1301.137664
bahamas,1990,0.34466941139999996
bahamas,1991,0.34466941139999996
bahamas,1992,0.34466941139999996
bahamas,1993,0.34466941139999996
bahamas,1994,0.34466941139999996
bahamas,1995,0.34466941139999996
bahamas,1996,0.34466941139999996
bahamas,1997,0.34466941139999996
bahamas,1998,0.34466941139999996
bahamas,1999,0.34466941139999996
bahamas,2000,0.34466941139999996
bahamas,2001,0.34466941139999996
bahamas,2002,0.34466941139999996
bahamas,2003,0.34466941139999996
bahamas,2004,0.34466941139999996
bahamas,2005,0.34466941139999996
bahamas,2006,0.34466941139999996
bahamas,2007,0.34466941139999996
bahamas,2008,0.34466941139999996
bahamas,2009,0.34466941139999996
bahamas,2010,0.34466941139999996
bahamas,2011,0.34466941139999996
bahamas,2012,0.34466941139999996
bahamas,2013,0.34466941139999996
bahamas,2014,0.34466941139999996
bahamas,2015,0.34466941139999996
bahamas,2016,0.34466941139999996
bahamas,2017,0.34466941139999996
bahamas,2018,0.34466941139999996
bahamas,2019,0.34466941139999996
barbados,1990,5.1315795500000005
barbados,1991,5.1315795500000005
barbados,1992,5.1315795500000005
barbados,1993,5.1315795500000005
barbados,1994,5.1315795500000005
barbados,1995,5.1315795500000005
barbados,1996,5.1315795500000005
barbados,1997,5.1315795500000005
barbados,1998,5.1315795500000005
barbados,1999,5.1315795500000005
barbados,2000,5.1315795500000005
barbados,2001,5.1315795500000005
barbados,2002,5.1315795500000005
barbados,2003,5.1315795500000005
barbados,2004,5.1315795500000005
barbados,2005,5.1315795500000005
barbados,2006,5.1315795500000005
barbados,2007,5.1315795500000005
barbados,2008,5.1315795500000005
barbados,2009,5.1315795500000005
barbados,2010,5.1315795500000005
barbados,2011,5.1315795500000005
barbados,2012,5.1315795500000005
barbados,2013,5.1315795500000005
barbados,2014,5.1315795500000005
barbados,2015,5.1315795500000005
barbados,2016,5.1315795500000005
barbados,2017,5.1315795500000005
barbados,2018,5.1315795500000005
barbados,2019,5.1315795500000005
belize,1990,4.669781843
belize,1991,4.669781843
belize,1992,4.669781843
belize,1993,4.669781843
belize,1994,4.669781843
belize,1995,4.669781843
belize,1996,4.669781843
belize,1997,4.669781843
belize,1998,4.669781843
belize,1999,4.669781843
belize,2000,4.669781843
belize,2001,4.669781843
belize,2002,4.669781843
belize,2003,4.669781843
belize,2004,4.669781843
belize,2005,4.669781843
belize,2006,4.669781843
belize,2007,4.669781843
belize,2008,4.669781843
belize,2009,4.669781843
belize,2010,4.669781843
belize,2011,4.669781843
belize,2012,4.669781843
belize,2013,4.669781843
belize,2014,4.669781843
belize,2015,4.669781843
belize,2016,4.669781843
belize,2017,4.669781843
belize,2018,4.669781843
belize,2019,4.669781843
bolivia,1990,39.71964042
bolivia,1991,39.71964042
bolivia,1992,39.71964042
bolivia,1993,39.71964042
bolivia,1994,39.71964042
bolivia,1995,39.71964042
bolivia,1996,39.71964042
bolivia,1997,39.71964042
bolivia,1998,39.71964042
bolivia,1999,39.71964042
bolivia,2000,39.71964042
bolivia,2001,39.71964042
bolivia,2002,39.71964042
bolivia,2003,39.71964042
bolivia,2004,39.71964042
bolivia,2005,39.71964042
bolivia,2006,39.71964042
bolivia,2007,39.71964042
bolivia,2008,39.71964042
bolivia,2009,39.71964042
bolivia,2010,39.71964042
bolivia,2011,39.71964042
bolivia,2012,39.71964042
bolivia,2013,39.71964042
bolivia,2014,39.71964042
bolivia,2015,39.71964042
bolivia,2016,39.71964042
bolivia,2017,39.71964042
bolivia,2018,39.71964042
bolivia,2019,39.71964042
brazil,1990,4327.799942
brazil,1991,4327.799942
brazil,1992,4327.799942
brazil,1993,4327.799942
brazil,1994,4327.799942
brazil,1995,4327.799942
brazil,1996,4327.799942
brazil,1997,4327.799942
brazil,1998,4327.799942
brazil,1999,4327.799942
brazil,2000,4327.799942
brazil,2001,4327.799942
brazil,2002,4327.799942
brazil,2003,4327.799942
brazil,2004,4327.799942
brazil,2005,4327.799942
brazil,2006,4327.799942
brazil,2007,4327.799942
brazil,2008,4327.799942
brazil,2009,4327.799942
brazil,2010,4327.799942
brazil,2011,4327.799942
brazil,2012,4327.799942
brazil,2013,4327.799942
brazil,2014,4327.799942
brazil,2015,4327.799942
brazil,2016,4327.799942
brazil,2017,4327.799942
brazil,2018,4327.799942
brazil,2019,4327.799942
chile,1990,581.4439699999999
chile,1991,581.4439699999999
chile,1992,581.4439699999999
chile,1993,581.4439699999999
chile,1994,581.4439699999999
chile,1995,581.4439699999999
chile,1996,581.4439699999999
chile,1997,581.4439699999999
chile,1998,581.4439699999999
chile,1999,581.4439699999999
chile,2000,581.4439699999999
chile,2001,581.4439699999999
chile,2002,581.4439699999999
chile,2003,581.4439699999999
chile,2004,581.4439699999999
chile,2005,581.4439699999999
chile,2006,581.4439699999999
chile,2007,581.4439699999999
chile,2008,581.4439699999999
chile,2009,581.4439699999999
chile,2010,581.4439699999999
chile,2011,581.4439699999999
chile,2012,581.4439699999999
chile,2013,581.4439699999999
chile,2014,581.4439699999999
chile,2015,581.4439699999999
chile,2016,581.4439699999999
chile,2017,581.4439699999999
chile,2018,581.4439699999999
chile,2019,581.4439699999999
colombia,1990,2622.8948330000003
colombia,1991,2622.8948330000003
colombia,1992,2622.8948330000003
colombia,1993,2622.8948330000003
colombia,1994,2622.8948330000003
colombia,1995,2622.8948330000003
colombia,1996,2622.8948330000003
colombia,1997,2622.8948330000003
colombia,1998,2622.8948330000003
colombia,1999,2622.8948330000003
colombia,2000,2622.8948330000003
colombia,2001,2622.8948330000003
colombia,2002,2622.8948330000003
colombia,2003,2622.8948330000003
colombia,2004,2622.8948330000003
colombia,2005,2622.8948330000003
colombia,2006,2622.8948330000003
colombia,2007,2622.8948330000003
colombia,2008,2622.8948330000003
colombia,2009,2622.8948330000003
colombia,2010,2622.8948330000003
colombia,2011,2622.8948330000003
colombia,2012,2622.8948330000003
colombia,2013,2622.8948330000003
colombia,2014,2622.8948330000003
colombia,2015,2622.8948330000003
colombia,2016,2622.8948330000003
colombia,2017,2622.8948330000003
colombia,2018,2622.8948330000003
colombia,2019,2622.8948330000003
costa_rica,1990,1100.0838529999999
costa_rica,1991,1100.0838529999999
costa_rica,1992,1100.0838529999999
costa_rica,1993,1100.0838529999999
costa_rica,1994,1100.0838529999999
costa_rica,1995,1100.0838529999999
costa_rica,1996,1100.0838529999999
costa_rica,1997,1100.0838529999999
costa_rica,1998,1100.0838529999999
costa_rica,1999,1100.0838529999999
costa_rica,2000,1100.0838529999999
costa_rica,2001,1100.0838529999999
costa_rica,2002,1100.0838529999999
costa_rica,2003,1100.0838529999999
costa_rica,2004,1100.0838529999999
costa_rica,2005,1100.0838529999999
costa_rica,2006,1100.0838529999999
costa_rica,2007,1100.0838529999999
costa_rica,2008,1100.0838529999999
costa_rica,2009,1100.0838529999999
costa_rica,2010,1100.0838529999999
costa_rica,2011,1100.0838529999999
costa_rica,2012,1100.0838529999999
costa_rica,2013,1100.0838529999999
costa_rica,2014,1100.0838529999999
costa_rica,2015,1100.0838529999999
costa_rica,2016,1100.0838529999999
costa_rica,2017,1100.0838529999999
costa_rica,2018,1100.0838529999999
costa_rica,2019,1100.0838529999999
dominican_republic,1990,28.66687496
dominican_republic,1991,28.66687496
dominican_republic,1992,28.66687496
dominican_republic,1993,28.66687496
dominican_republic,1994,28.66687496
dominican_republic,1995,28.66687496
dominican_republic,1996,28.66687496
dominican_republic,1997,28.66687496
dominican_republic,1998,28.66687496
dominican_republic,1999,28.66687496
dominican_republic,2000,28.66687496
dominican_republic,2001,28.66687496
dominican_republic,2002,28.66687496
dominican_republic,2003,28.66687496
dominican_republic,2004,28.66687496
dominican_republic,2005,28.66687496
dominican_republic,2006,28.66687496
dominican_republic,2007,28.66687496
dominican_republic,2008,28.66687496
dominican_republic,2009,28.66687496
dominican_republic,2010,28.66687496
dominican_republic,2011,28.66687496
dominican_republic,2012,28.66687496
dominican_republic,2013,28.66687496
dominican_republic,2014,28.66687496
dominican_republic,2015,28.66687496
dominican_republic,2016,28.66687496
dominican_republic,2017,28.66687496
dominican_republic,2018,28.66687496
dominican_republic,2019,28.66687496
ecuador,1990,166.9596981
ecuador,1991,166.9596981
ecuador,1992,166.9596981
ecuador,1993,166.9596981
ecuador,1994,166.9596981
ecuador,1995,166.9596981
ecuador,1996,166.9596981
ecuador,1997,166.9596981
ecuador,1998,166.9596981
ecuador,1999,166.9596981
ecuador,2000,166.9596981
ecuador,2001,166.9596981
ecuador,2002,166.9596981
ecuador,2003,166.9596981
ecuador,2004,166.9596981
ecuador,2005,166.9596981
ecuador,2006,166.9596981
ecuador,2007,166.9596981
ecuador,2008,166.9596981
ecuador,2009,166.9596981
ecuador,2010,166.9596981
ecuador,2011,166.9596981
ecuador,2012,166.9596981
ecuador,2013,166.9596981
ecuador,2014,166.9596981
ecuador,2015,166.9596981
ecuador,2016,166.9596981
ecuador,2017,166.9596981
ecuador,2018,166.9596981
ecuador,2019,166.9596981
el_salvador,1990,29.15107325
el_salvador,1991,29.15107325
el_salvador,1992,29.15107325
el_salvador,1993,29.15107325
el_salvador,1994,29.15107325
el_salvador,1995,29.15107325
el_salvador,1996,29.15107325
el_salvador,1997,29.15107325
el_salvador,1998,29.15107325
el_salvador,1999,29.15107325
el_salvador,2000,29.15107325
el_salvador,2001,29.15107325
el_salvador,2002,29.15107325
el_salvador,2003,29.15107325
el_salvador,2004,29.15107325
el_salvador,2005,29.15107325
el_salvador,2006,29.15107325
el_salvador,2007,29.15107325
el_salvador,2008,29.15107325
el_salvador,2009,29.15107325
el_salvador,2010,29.15107325
el_salvador,2011,29.15107325
el_salvador,2012,29.15107325
el_salvador,2013,29.15107325
el_salvador,2014,29.15107325
el_salvador,2015,29.15107325
el_salvador,2016,29.15107325
el_salvador,2017,29.15107325
el_salvador,2018,29.15107325
el_salvador,2019,29.15107325
guatemala,1990,931.7531528000001
guatemala,1991,931.7531528000001
guatemala,1992,931.7531528000001
guatemala,1993,931.7531528000001
guatemala,1994,931.7531528000001
guatemala,1995,931.7531528000001
guatemala,1996,931.7531528000001
guatemala,1997,931.7531528000001
guatemala,1998,931.7531528000001
guatemala,1999,931.7531528000001
guatemala,2000,931.7531528000001
guatemala,2001,931.7531528000001
guatemala,2002,931.7531528000001
guatemala,2003,931.7531528000001
guatemala,2004,931.7531528000001
guatemala,2005,931.7531528000001
guatemala,2006,931.7531528000001
guatemala,2007,931.7531528000001
guatemala,2008,931.7531528000001
guatemala,2009,931.7531528000001
guatemala,2010,931.7531528000001
guatemala,2011,931.7531528000001
guatemala,2012,931.7531528000001
guatemala,2013,931.7531528000001
guatemala,2014,931.7531528000001
guatemala,2015,931.7531528000001
guatemala,2016,931.7531528000001
guatemala,2017,931.7531528000001
guatemala,2018,931.7531528000001
guatemala,2019,931.7531528000001
guyana,1990,1.6152924800000001
guyana,1991,1.6152924800000001
guyana,1992,1.6152924800000001
guyana,1993,1.6152924800000001
guyana,1994,1.6152924800000001
guyana,1995,1.6152924800000001
guyana,1996,1.6152924800000001
guyana,1997,1.6152924800000001
guyana,1998,1.6152924800000001
guyana,1999,1.6152924800000001
guyana,2000,1.6152924800000001
guyana,2001,1.6152924800000001
guyana,2002,1.6152924800000001
guyana,2003,1.6152924800000001
guyana,2004,1.6152924800000001
guyana,2005,1.6152924800000001
guyana,2006,1.6152924800000001
guyana,2007,1.6152924800000001
guyana,2008,1.6152924800000001
guyana,2009,1.6152924800000001
guyana,2010,1.6152924800000001
guyana,2011,1.6152924800000001
guyana,2012,1.6152924800000001
guyana,2013,1.6152924800000001
guyana,2014,1.6152924800000001
guyana,2015,1.6152924800000001
guyana,2016,1.6152924800000001
guyana,2017,1.6152924800000001
guyana,2018,1.6152924800000001
guyana,2019,1.6152924800000001
haiti,1990,11.92927916
haiti,1991,11.92927916
haiti,1992,11.92927916
haiti,1993,11.92927916
haiti,1994,11.92927916
haiti,1995,11.92927916
haiti,1996,11.92927916
haiti,1997,11.92927916
haiti,1998,11.92927916
haiti,1999,11.92927916
haiti,2000,11.92927916
haiti,2001,11.92927916
haiti,2002,11.92927916
haiti,2003,11.92927916
haiti,2004,11.92927916
haiti,2005,11.92927916
haiti,2006,11.92927916
haiti,2007,11.92927916
haiti,2008,11.92927916
haiti,2009,11.92927916
haiti,2010,11.92927916
haiti,2011,11.92927916
haiti,2012,11.92927916
haiti,2013,11.92927916
haiti,2014,11.92927916
haiti,2015,11.92927916
haiti,2016,11.92927916
haiti,2017,11.92927916
haiti,2018,11.92927916
haiti,2019,11.92927916
honduras,1990,13.25658684
honduras,1991,13.25658684
honduras,1992,13.25658684
honduras,1993,13.25658684
honduras,1994,13.25658684
honduras,1995,13.25658684
honduras,1996,13.25658684
honduras,1997,13.25658684
honduras,1998,13.25658684
honduras,1999,13.25658684
honduras,2000,13.25658684
honduras,2001,13.25658684
honduras,2002,13.25658684
honduras,2003,13.25658684
honduras,2004,13.25658684
honduras,2005,13.25658684
honduras,2006,13.25658684
honduras,2007,13.25658684
honduras,2008,13.25658684
honduras,2009,13.25658684
honduras,2010,13.25658684
honduras,2011,13.25658684
honduras,2012,13.25658684
honduras,2013,13.25658684
honduras,2014,13.25658684
honduras,2015,13.25658684
honduras,2016,13.25658684
honduras,2017,13.25658684
honduras,2018,13.25658684
honduras,2019,13.25658684
jamaica,1990,11.63379687
jamaica,1991,11.63379687
jamaica,1992,11.63379687
jamaica,1993,11.63379687
jamaica,1994,11.63379687
jamaica,1995,11.63379687
jamaica,1996,11.63379687
jamaica,1997,11.63379687
jamaica,1998,11.63379687
jamaica,1999,11.63379687
jamaica,2000,11.63379687
jamaica,2001,11.63379687
jamaica,2002,11.63379687
jamaica,2003,11.63379687
jamaica,2004,11.63379687
jamaica,2005,11.63379687
jamaica,2006,11.63379687
jamaica,2007,11.63379687
jamaica,2008,11.63379687
jamaica,2009,11.63379687
jamaica,2010,11.63379687
jamaica,2011,11.63379687
jamaica,2012,11.63379687
jamaica,2013,11.63379687
jamaica,2014,11.63379687
jamaica,2015,11.63379687
jamaica,2016,11.63379687
jamaica,2017,11.63379687
jamaica,2018,11.63379687
jamaica,2019,11.63379687
mexico,1990,13475.05214
mexico,1991,13475.05214
mexico,1992,13475.05214
mexico,1993,13475.05214
mexico,1994,13475.05214
mexico,1995,13475.05214
mexico,1996,13475.05214
mexico,1997,13475.05214
mexico,1998,13475.05214
mexico,1999,13475.05214
mexico,2000,13475.05214
mexico,2001,13475.05214
mexico,2002,13475.05214
mexico,2003,13475.05214
mexico,2004,13475.05214
mexico,2005,13475.05214
mexico,2006,13475.05214
mexico,2007,13475.05214
mexico,2008,13475.05214
mexico,2009,13475.05214
mexico,2010,13475.05214
mexico,2011,13475.05214
mexico,2012,13475.05214
mexico,2013,13475.05214
mexico,2014,13475.05214
mexico,2015,13475.05214
mexico,2016,13475.05214
mexico,2017,13475.05214
mexico,2018,13475.05214
mexico,2019,13475.05214
nicaragua,1990,5.240939598
nicaragua,1991,5.240939598
nicaragua,1992,5.240939598
nicaragua,1993,5.240939598
nicaragua,1994,5.240939598
nicaragua,1995,5.240939598
nicaragua,1996,5.240939598
nicaragua,1997,5.240939598
nicaragua,1998,5.240939598
nicaragua,1999,5.240939598
nicaragua,2000,5.240939598
nicaragua,2001,5.240939598
nicaragua,2002,5.240939598
nicaragua,2003,5.240939598
nicaragua,2004,5.240939598
nicaragua,2005,5.240939598
nicaragua,2006,5.240939598
nicaragua,2007,5.240939598
nicaragua,2008,5.240939598
nicaragua,2009,5.240939598
nicaragua,2010,5.240939598
nicaragua,2011,5.240939598
nicaragua,2012,5.240939598
nicaragua,2013,5.240939598
nicaragua,2014,5.240939598
nicaragua,2015,5.240939598
nicaragua,2016,5.240939598
nicaragua,2017,5.240939598
nicaragua,2018,5.240939598
nicaragua,2019,5.240939598
panama,1990,31.250148230000004
panama,1991,31.250148230000004
panama,1992,31.250148230000004
panama,1993,31.250148230000004
panama,1994,31.250148230000004
panama,1995,31.250148230000004
panama,1996,31.250148230000004
panama,1997,31.250148230000004
panama,1998,31.250148230000004
panama,1999,31.250148230000004
panama,2000,31.250148230000004
panama,2001,31.250148230000004
panama,2002,31.250148230000004
panama,2003,31.250148230000004
panama,2004,31.250148230000004
panama,2005,31.250148230000004
panama,2006,31.250148230000004
panama,2007,31.250148230000004
panama,2008,31.250148230000004
panama,2009,31.250148230000004
panama,2010,31.250148230000004
panama,2011,31.250148230000004
panama,2012,31.250148230000004
panama,2013,31.250148230000004
panama,2014,31.250148230000004
panama,2015,31.250148230000004
panama,2016,31.250148230000004
panama,2017,31.250148230000004
panama,2018,31.250148230000004
panama,2019,31.250148230000004
paraguay,1990,87.40998522
paraguay,1991,87.40998522
paraguay,1992,87.40998522
paraguay,1993,87.40998522
paraguay,1994,87.40998522
paraguay,1995,87.40998522
paraguay,1996,87.40998522
paraguay,1997,87.40998522
paraguay,1998,87.40998522
paraguay,1999,87.40998522
paraguay,2000,87.40998522
paraguay,2001,87.40998522
paraguay,2002,87.40998522
paraguay,2003,87.40998522
paraguay,2004,87.40998522
paraguay,2005,87.40998522
paraguay,2006,87.40998522
paraguay,2007,87.40998522
paraguay,2008,87.40998522
paraguay,2009,87.40998522
paraguay,2010,87.40998522
paraguay,2011,87.40998522
paraguay,2012,87.40998522
paraguay,2013,87.40998522
paraguay,2014,87.40998522
paraguay,2015,87.40998522
paraguay,2016,87.40998522
paraguay,2017,87.40998522
paraguay,2018,87.40998522
paraguay,2019,87.40998522
peru,1990,1100.026488
peru,1991,1100.026488
peru,1992,1100.026488
peru,1993,1100.026488
peru,1994,1100.026488
peru,1995,1100.026488
peru,1996,1100.026488
peru,1997,1100.026488
peru,1998,1100.026488
peru,1999,1100.026488
peru,2000,1100.026488
peru,2001,1100.026488
peru,2002,1100.026488
peru,2003,1100.026488
peru,2004,1100.026488
peru,2005,1100.026488
peru,2006,1100.026488
peru,2007,1100.026488
peru,2008,1100.026488
peru,2009,1100.026488
peru,2010,1100.026488
peru,2011,1100.026488
peru,2012,1100.026488
peru,2013,1100.026488
peru,2014,1100.026488
peru,2015,1100.026488
peru,2016,1100.026488
peru,2017,1100.026488
peru,2018,1100.026488
peru,2019,1100.026488
suriname,1990,0.20694154819999996
suriname,1991,0.20694154819999996
suriname,1992,0.20694154819999996
suriname,1993,0.20694154819999996
suriname,1994,0.20694154819999996
suriname,1995,0.20694154819999996
suriname,1996,0.20694154819999996
suriname,1997,0.20694154819999996
suriname,1998,0.20694154819999996
suriname,1999,0.20694154819999996
suriname,2000,0.20694154819999996
suriname,2001,0.20694154819999996
suriname,2002,0.20694154819999996
suriname,2003,0.20694154819999996
suriname,2004,0.20694154819999996
suriname,2005,0.20694154819999996
suriname,2006,0.20694154819999996
suriname,2007,0.20694154819999996
suriname,2008,0.20694154819999996
suriname,2009,0.20694154819999996
suriname,2010,0.20694154819999996
suriname,2011,0.20694154819999996
suriname,2012,0.20694154819999996
suriname,2013,0.20694154819999996
suriname,2014,0.20694154819999996
suriname,2015,0.20694154819999996
suriname,2016,0.20694154819999996
suriname,2017,0.20694154819999996
suriname,2018,0.20694154819999996
suriname,2019,0.20694154819999996
trinidad_and_tobago,1990,47.76087877
trinidad_and_tobago,1991,47.76087877
trinidad_and_tobago,1992,47.76087877
trinidad_and_tobago,1993,47.76087877
trinidad_and_tobago,1994,47.76087877
trinidad_and_tobago,1995,47.76087877
trinidad_and_tobago,1996,47.76087877
trinidad_and_tobago,1997,47.76087877
trinidad_and_tobago,1998,47.76087877
trinidad_and_tobago,1999,47.76087877
trinidad_and_tobago,2000,47.76087877
trinidad_and_tobago,2001,47.76087877
trinidad_and_tobago,2002,47.76087877
trinidad_and_tobago,2003,47.76087877
trinidad_and_tobago,2004,47.76087877
trinidad_and_tobago,2005,47.76087877
trinidad_and_tobago,2006,47.76087877
trinidad_and_tobago,2007,47.76087877
trinidad_and_tobago,2008,47.76087877
trinidad_and_tobago,2009,47.76087877
trinidad_and_tobago,2010,47.76087877
trinidad_and_tobago,2011,47.76087877
trinidad_and_tobago,2012,47.76087877
trinidad_and_tobago,2013,47.76087877
trinidad_and_tobago,2014,47.76087877
trinidad_and_tobago,2015,47.76087877
trinidad_and_tobago,2016,47.76087877
trinidad_and_tobago,2017,47.76087877
trinidad_and_tobago,2018,47.76087877
trinidad_and_tobago,2019,47.76087877
uruguay,1990,50.27836372
uruguay,1991,50.27836372
uruguay,1992,50.27836372
uruguay,1993,50.27836372
uruguay,1994,50.27836372
uruguay,1995,50.27836372
uruguay,1996,50.27836372
uruguay,1997,50.27836372
uruguay,1998,50.27836372
uruguay,1999,50.27836372
uruguay,2000,50.27836372
uruguay,2001,50.27836372
uruguay,2002,50.27836372
uruguay,2003,50.27836372
uruguay,2004,50.27836372
uruguay,2005,50.27836372
uruguay,2006,50.27836372
uruguay,2007,50.27836372
uruguay,2008,50.27836372
uruguay,2009,50.27836372
uruguay,2010,50.27836372
uruguay,2011,50.27836372
uruguay,2012,50.27836372
uruguay,2013,50.27836372
uruguay,2014,50.27836372
uruguay,2015,50.27836372
uruguay,2016,50.27836372
uruguay,2017,50.27836372
uruguay,2018,50.27836372
uruguay,2019,50.27836372
venezuela,1990,99.06897549
venezuela,1991,99.06897549
venezuela,1992,99.06897549
venezuela,1993,99.06897549
venezuela,1994,99.06897549
venezuela,1995,99.06897549
venezuela,1996,99.06897549
venezuela,1997,99.06897549
venezuela,1998,99.06897549
venezuela,1999,99.06897549
venezuela,2000,99.06897549
venezuela,2001,99.06897549
venezuela,2002,99.06897549
venezuela,2003,99.06897549
venezuela,2004,99.06897549
venezuela,2005,99.06897549
venezuela,2006,99.06897549
venezuela,2007,99.06897549
venezuela,2008,99.06897549
venezuela,2009,99.06897549
venezuela,2010,99.06897549
venezuela,2011,99.06897549
venezuela,2012,99.06897549
venezuela,2013,99.06897549
venezuela,2014,99.06897549
venezuela,2015,99.06897549
venezuela,2016,99.06897549
venezuela,2017,99.06897549
venezuela,2018,99.06897549
venezuela,2019,99.06897549
