Nation,Year,prodinit_ippu_rubber_and_leather_tonne
argentina,1990,640797.9225
argentina,1991,640797.9225
argentina,1992,640797.9225
argentina,1993,640797.9225
argentina,1994,640797.9225
argentina,1995,640797.9225
argentina,1996,640797.9225
argentina,1997,640797.9225
argentina,1998,640797.9225
argentina,1999,640797.9225
argentina,2000,640797.9225
argentina,2001,640797.9225
argentina,2002,640797.9225
argentina,2003,640797.9225
argentina,2004,640797.9225
argentina,2005,640797.9225
argentina,2006,640797.9225
argentina,2007,640797.9225
argentina,2008,640797.9225
argentina,2009,640797.9225
argentina,2010,640797.9225
argentina,2011,640797.9225
argentina,2012,640797.9225
argentina,2013,640797.9225
argentina,2014,640797.9225
argentina,2015,640797.9225
argentina,2016,640797.9225
argentina,2017,640797.9225
argentina,2018,640797.9225
argentina,2019,640797.9225
bahamas,1990,136.9921584
bahamas,1991,136.9921584
bahamas,1992,136.9921584
bahamas,1993,136.9921584
bahamas,1994,136.9921584
bahamas,1995,136.9921584
bahamas,1996,136.9921584
bahamas,1997,136.9921584
bahamas,1998,136.9921584
bahamas,1999,136.9921584
bahamas,2000,136.9921584
bahamas,2001,136.9921584
bahamas,2002,136.9921584
bahamas,2003,136.9921584
bahamas,2004,136.9921584
bahamas,2005,136.9921584
bahamas,2006,136.9921584
bahamas,2007,136.9921584
bahamas,2008,136.9921584
bahamas,2009,136.9921584
bahamas,2010,136.9921584
bahamas,2011,136.9921584
bahamas,2012,136.9921584
bahamas,2013,136.9921584
bahamas,2014,136.9921584
bahamas,2015,136.9921584
bahamas,2016,136.9921584
bahamas,2017,136.9921584
bahamas,2018,136.9921584
bahamas,2019,136.9921584
barbados,1990,397.29864990000004
barbados,1991,397.29864990000004
barbados,1992,397.29864990000004
barbados,1993,397.29864990000004
barbados,1994,397.29864990000004
barbados,1995,397.29864990000004
barbados,1996,397.29864990000004
barbados,1997,397.29864990000004
barbados,1998,397.29864990000004
barbados,1999,397.29864990000004
barbados,2000,397.29864990000004
barbados,2001,397.29864990000004
barbados,2002,397.29864990000004
barbados,2003,397.29864990000004
barbados,2004,397.29864990000004
barbados,2005,397.29864990000004
barbados,2006,397.29864990000004
barbados,2007,397.29864990000004
barbados,2008,397.29864990000004
barbados,2009,397.29864990000004
barbados,2010,397.29864990000004
barbados,2011,397.29864990000004
barbados,2012,397.29864990000004
barbados,2013,397.29864990000004
barbados,2014,397.29864990000004
barbados,2015,397.29864990000004
barbados,2016,397.29864990000004
barbados,2017,397.29864990000004
barbados,2018,397.29864990000004
barbados,2019,397.29864990000004
belize,1990,213.6087284
belize,1991,213.6087284
belize,1992,213.6087284
belize,1993,213.6087284
belize,1994,213.6087284
belize,1995,213.6087284
belize,1996,213.6087284
belize,1997,213.6087284
belize,1998,213.6087284
belize,1999,213.6087284
belize,2000,213.6087284
belize,2001,213.6087284
belize,2002,213.6087284
belize,2003,213.6087284
belize,2004,213.6087284
belize,2005,213.6087284
belize,2006,213.6087284
belize,2007,213.6087284
belize,2008,213.6087284
belize,2009,213.6087284
belize,2010,213.6087284
belize,2011,213.6087284
belize,2012,213.6087284
belize,2013,213.6087284
belize,2014,213.6087284
belize,2015,213.6087284
belize,2016,213.6087284
belize,2017,213.6087284
belize,2018,213.6087284
belize,2019,213.6087284
bolivia,1990,416.7872599
bolivia,1991,416.7872599
bolivia,1992,416.7872599
bolivia,1993,416.7872599
bolivia,1994,416.7872599
bolivia,1995,416.7872599
bolivia,1996,416.7872599
bolivia,1997,416.7872599
bolivia,1998,416.7872599
bolivia,1999,416.7872599
bolivia,2000,416.7872599
bolivia,2001,416.7872599
bolivia,2002,416.7872599
bolivia,2003,416.7872599
bolivia,2004,416.7872599
bolivia,2005,416.7872599
bolivia,2006,416.7872599
bolivia,2007,416.7872599
bolivia,2008,416.7872599
bolivia,2009,416.7872599
bolivia,2010,416.7872599
bolivia,2011,416.7872599
bolivia,2012,416.7872599
bolivia,2013,416.7872599
bolivia,2014,416.7872599
bolivia,2015,416.7872599
bolivia,2016,416.7872599
bolivia,2017,416.7872599
bolivia,2018,416.7872599
bolivia,2019,416.7872599
brazil,1990,5029976.818
brazil,1991,5029976.818
brazil,1992,5029976.818
brazil,1993,5029976.818
brazil,1994,5029976.818
brazil,1995,5029976.818
brazil,1996,5029976.818
brazil,1997,5029976.818
brazil,1998,5029976.818
brazil,1999,5029976.818
brazil,2000,5029976.818
brazil,2001,5029976.818
brazil,2002,5029976.818
brazil,2003,5029976.818
brazil,2004,5029976.818
brazil,2005,5029976.818
brazil,2006,5029976.818
brazil,2007,5029976.818
brazil,2008,5029976.818
brazil,2009,5029976.818
brazil,2010,5029976.818
brazil,2011,5029976.818
brazil,2012,5029976.818
brazil,2013,5029976.818
brazil,2014,5029976.818
brazil,2015,5029976.818
brazil,2016,5029976.818
brazil,2017,5029976.818
brazil,2018,5029976.818
brazil,2019,5029976.818
chile,1990,543922.3193999999
chile,1991,543922.3193999999
chile,1992,543922.3193999999
chile,1993,543922.3193999999
chile,1994,543922.3193999999
chile,1995,543922.3193999999
chile,1996,543922.3193999999
chile,1997,543922.3193999999
chile,1998,543922.3193999999
chile,1999,543922.3193999999
chile,2000,543922.3193999999
chile,2001,543922.3193999999
chile,2002,543922.3193999999
chile,2003,543922.3193999999
chile,2004,543922.3193999999
chile,2005,543922.3193999999
chile,2006,543922.3193999999
chile,2007,543922.3193999999
chile,2008,543922.3193999999
chile,2009,543922.3193999999
chile,2010,543922.3193999999
chile,2011,543922.3193999999
chile,2012,543922.3193999999
chile,2013,543922.3193999999
chile,2014,543922.3193999999
chile,2015,543922.3193999999
chile,2016,543922.3193999999
chile,2017,543922.3193999999
chile,2018,543922.3193999999
chile,2019,543922.3193999999
colombia,1990,237072.4879
colombia,1991,237072.4879
colombia,1992,237072.4879
colombia,1993,237072.4879
colombia,1994,237072.4879
colombia,1995,237072.4879
colombia,1996,237072.4879
colombia,1997,237072.4879
colombia,1998,237072.4879
colombia,1999,237072.4879
colombia,2000,237072.4879
colombia,2001,237072.4879
colombia,2002,237072.4879
colombia,2003,237072.4879
colombia,2004,237072.4879
colombia,2005,237072.4879
colombia,2006,237072.4879
colombia,2007,237072.4879
colombia,2008,237072.4879
colombia,2009,237072.4879
colombia,2010,237072.4879
colombia,2011,237072.4879
colombia,2012,237072.4879
colombia,2013,237072.4879
colombia,2014,237072.4879
colombia,2015,237072.4879
colombia,2016,237072.4879
colombia,2017,237072.4879
colombia,2018,237072.4879
colombia,2019,237072.4879
costa_rica,1990,350778.599
costa_rica,1991,350778.599
costa_rica,1992,350778.599
costa_rica,1993,350778.599
costa_rica,1994,350778.599
costa_rica,1995,350778.599
costa_rica,1996,350778.599
costa_rica,1997,350778.599
costa_rica,1998,350778.599
costa_rica,1999,350778.599
costa_rica,2000,350778.599
costa_rica,2001,350778.599
costa_rica,2002,350778.599
costa_rica,2003,350778.599
costa_rica,2004,350778.599
costa_rica,2005,350778.599
costa_rica,2006,350778.599
costa_rica,2007,350778.599
costa_rica,2008,350778.599
costa_rica,2009,350778.599
costa_rica,2010,350778.599
costa_rica,2011,350778.599
costa_rica,2012,350778.599
costa_rica,2013,350778.599
costa_rica,2014,350778.599
costa_rica,2015,350778.599
costa_rica,2016,350778.599
costa_rica,2017,350778.599
costa_rica,2018,350778.599
costa_rica,2019,350778.599
dominican_republic,1990,4651.722113
dominican_republic,1991,4651.722113
dominican_republic,1992,4651.722113
dominican_republic,1993,4651.722113
dominican_republic,1994,4651.722113
dominican_republic,1995,4651.722113
dominican_republic,1996,4651.722113
dominican_republic,1997,4651.722113
dominican_republic,1998,4651.722113
dominican_republic,1999,4651.722113
dominican_republic,2000,4651.722113
dominican_republic,2001,4651.722113
dominican_republic,2002,4651.722113
dominican_republic,2003,4651.722113
dominican_republic,2004,4651.722113
dominican_republic,2005,4651.722113
dominican_republic,2006,4651.722113
dominican_republic,2007,4651.722113
dominican_republic,2008,4651.722113
dominican_republic,2009,4651.722113
dominican_republic,2010,4651.722113
dominican_republic,2011,4651.722113
dominican_republic,2012,4651.722113
dominican_republic,2013,4651.722113
dominican_republic,2014,4651.722113
dominican_republic,2015,4651.722113
dominican_republic,2016,4651.722113
dominican_republic,2017,4651.722113
dominican_republic,2018,4651.722113
dominican_republic,2019,4651.722113
ecuador,1990,101107.7565
ecuador,1991,101107.7565
ecuador,1992,101107.7565
ecuador,1993,101107.7565
ecuador,1994,101107.7565
ecuador,1995,101107.7565
ecuador,1996,101107.7565
ecuador,1997,101107.7565
ecuador,1998,101107.7565
ecuador,1999,101107.7565
ecuador,2000,101107.7565
ecuador,2001,101107.7565
ecuador,2002,101107.7565
ecuador,2003,101107.7565
ecuador,2004,101107.7565
ecuador,2005,101107.7565
ecuador,2006,101107.7565
ecuador,2007,101107.7565
ecuador,2008,101107.7565
ecuador,2009,101107.7565
ecuador,2010,101107.7565
ecuador,2011,101107.7565
ecuador,2012,101107.7565
ecuador,2013,101107.7565
ecuador,2014,101107.7565
ecuador,2015,101107.7565
ecuador,2016,101107.7565
ecuador,2017,101107.7565
ecuador,2018,101107.7565
ecuador,2019,101107.7565
el_salvador,1990,6126.429906
el_salvador,1991,6126.429906
el_salvador,1992,6126.429906
el_salvador,1993,6126.429906
el_salvador,1994,6126.429906
el_salvador,1995,6126.429906
el_salvador,1996,6126.429906
el_salvador,1997,6126.429906
el_salvador,1998,6126.429906
el_salvador,1999,6126.429906
el_salvador,2000,6126.429906
el_salvador,2001,6126.429906
el_salvador,2002,6126.429906
el_salvador,2003,6126.429906
el_salvador,2004,6126.429906
el_salvador,2005,6126.429906
el_salvador,2006,6126.429906
el_salvador,2007,6126.429906
el_salvador,2008,6126.429906
el_salvador,2009,6126.429906
el_salvador,2010,6126.429906
el_salvador,2011,6126.429906
el_salvador,2012,6126.429906
el_salvador,2013,6126.429906
el_salvador,2014,6126.429906
el_salvador,2015,6126.429906
el_salvador,2016,6126.429906
el_salvador,2017,6126.429906
el_salvador,2018,6126.429906
el_salvador,2019,6126.429906
guatemala,1990,403802.63460000005
guatemala,1991,403802.63460000005
guatemala,1992,403802.63460000005
guatemala,1993,403802.63460000005
guatemala,1994,403802.63460000005
guatemala,1995,403802.63460000005
guatemala,1996,403802.63460000005
guatemala,1997,403802.63460000005
guatemala,1998,403802.63460000005
guatemala,1999,403802.63460000005
guatemala,2000,403802.63460000005
guatemala,2001,403802.63460000005
guatemala,2002,403802.63460000005
guatemala,2003,403802.63460000005
guatemala,2004,403802.63460000005
guatemala,2005,403802.63460000005
guatemala,2006,403802.63460000005
guatemala,2007,403802.63460000005
guatemala,2008,403802.63460000005
guatemala,2009,403802.63460000005
guatemala,2010,403802.63460000005
guatemala,2011,403802.63460000005
guatemala,2012,403802.63460000005
guatemala,2013,403802.63460000005
guatemala,2014,403802.63460000005
guatemala,2015,403802.63460000005
guatemala,2016,403802.63460000005
guatemala,2017,403802.63460000005
guatemala,2018,403802.63460000005
guatemala,2019,403802.63460000005
guyana,1990,412.3647007
guyana,1991,412.3647007
guyana,1992,412.3647007
guyana,1993,412.3647007
guyana,1994,412.3647007
guyana,1995,412.3647007
guyana,1996,412.3647007
guyana,1997,412.3647007
guyana,1998,412.3647007
guyana,1999,412.3647007
guyana,2000,412.3647007
guyana,2001,412.3647007
guyana,2002,412.3647007
guyana,2003,412.3647007
guyana,2004,412.3647007
guyana,2005,412.3647007
guyana,2006,412.3647007
guyana,2007,412.3647007
guyana,2008,412.3647007
guyana,2009,412.3647007
guyana,2010,412.3647007
guyana,2011,412.3647007
guyana,2012,412.3647007
guyana,2013,412.3647007
guyana,2014,412.3647007
guyana,2015,412.3647007
guyana,2016,412.3647007
guyana,2017,412.3647007
guyana,2018,412.3647007
guyana,2019,412.3647007
haiti,1990,50.42558065
haiti,1991,50.42558065
haiti,1992,50.42558065
haiti,1993,50.42558065
haiti,1994,50.42558065
haiti,1995,50.42558065
haiti,1996,50.42558065
haiti,1997,50.42558065
haiti,1998,50.42558065
haiti,1999,50.42558065
haiti,2000,50.42558065
haiti,2001,50.42558065
haiti,2002,50.42558065
haiti,2003,50.42558065
haiti,2004,50.42558065
haiti,2005,50.42558065
haiti,2006,50.42558065
haiti,2007,50.42558065
haiti,2008,50.42558065
haiti,2009,50.42558065
haiti,2010,50.42558065
haiti,2011,50.42558065
haiti,2012,50.42558065
haiti,2013,50.42558065
haiti,2014,50.42558065
haiti,2015,50.42558065
haiti,2016,50.42558065
haiti,2017,50.42558065
haiti,2018,50.42558065
haiti,2019,50.42558065
honduras,1990,1894.388017
honduras,1991,1894.388017
honduras,1992,1894.388017
honduras,1993,1894.388017
honduras,1994,1894.388017
honduras,1995,1894.388017
honduras,1996,1894.388017
honduras,1997,1894.388017
honduras,1998,1894.388017
honduras,1999,1894.388017
honduras,2000,1894.388017
honduras,2001,1894.388017
honduras,2002,1894.388017
honduras,2003,1894.388017
honduras,2004,1894.388017
honduras,2005,1894.388017
honduras,2006,1894.388017
honduras,2007,1894.388017
honduras,2008,1894.388017
honduras,2009,1894.388017
honduras,2010,1894.388017
honduras,2011,1894.388017
honduras,2012,1894.388017
honduras,2013,1894.388017
honduras,2014,1894.388017
honduras,2015,1894.388017
honduras,2016,1894.388017
honduras,2017,1894.388017
honduras,2018,1894.388017
honduras,2019,1894.388017
jamaica,1990,1045.584959
jamaica,1991,1045.584959
jamaica,1992,1045.584959
jamaica,1993,1045.584959
jamaica,1994,1045.584959
jamaica,1995,1045.584959
jamaica,1996,1045.584959
jamaica,1997,1045.584959
jamaica,1998,1045.584959
jamaica,1999,1045.584959
jamaica,2000,1045.584959
jamaica,2001,1045.584959
jamaica,2002,1045.584959
jamaica,2003,1045.584959
jamaica,2004,1045.584959
jamaica,2005,1045.584959
jamaica,2006,1045.584959
jamaica,2007,1045.584959
jamaica,2008,1045.584959
jamaica,2009,1045.584959
jamaica,2010,1045.584959
jamaica,2011,1045.584959
jamaica,2012,1045.584959
jamaica,2013,1045.584959
jamaica,2014,1045.584959
jamaica,2015,1045.584959
jamaica,2016,1045.584959
jamaica,2017,1045.584959
jamaica,2018,1045.584959
jamaica,2019,1045.584959
mexico,1990,3980276.587
mexico,1991,3980276.587
mexico,1992,3980276.587
mexico,1993,3980276.587
mexico,1994,3980276.587
mexico,1995,3980276.587
mexico,1996,3980276.587
mexico,1997,3980276.587
mexico,1998,3980276.587
mexico,1999,3980276.587
mexico,2000,3980276.587
mexico,2001,3980276.587
mexico,2002,3980276.587
mexico,2003,3980276.587
mexico,2004,3980276.587
mexico,2005,3980276.587
mexico,2006,3980276.587
mexico,2007,3980276.587
mexico,2008,3980276.587
mexico,2009,3980276.587
mexico,2010,3980276.587
mexico,2011,3980276.587
mexico,2012,3980276.587
mexico,2013,3980276.587
mexico,2014,3980276.587
mexico,2015,3980276.587
mexico,2016,3980276.587
mexico,2017,3980276.587
mexico,2018,3980276.587
mexico,2019,3980276.587
nicaragua,1990,790.4688278
nicaragua,1991,790.4688278
nicaragua,1992,790.4688278
nicaragua,1993,790.4688278
nicaragua,1994,790.4688278
nicaragua,1995,790.4688278
nicaragua,1996,790.4688278
nicaragua,1997,790.4688278
nicaragua,1998,790.4688278
nicaragua,1999,790.4688278
nicaragua,2000,790.4688278
nicaragua,2001,790.4688278
nicaragua,2002,790.4688278
nicaragua,2003,790.4688278
nicaragua,2004,790.4688278
nicaragua,2005,790.4688278
nicaragua,2006,790.4688278
nicaragua,2007,790.4688278
nicaragua,2008,790.4688278
nicaragua,2009,790.4688278
nicaragua,2010,790.4688278
nicaragua,2011,790.4688278
nicaragua,2012,790.4688278
nicaragua,2013,790.4688278
nicaragua,2014,790.4688278
nicaragua,2015,790.4688278
nicaragua,2016,790.4688278
nicaragua,2017,790.4688278
nicaragua,2018,790.4688278
nicaragua,2019,790.4688278
panama,1990,64992.77842
panama,1991,64992.77842
panama,1992,64992.77842
panama,1993,64992.77842
panama,1994,64992.77842
panama,1995,64992.77842
panama,1996,64992.77842
panama,1997,64992.77842
panama,1998,64992.77842
panama,1999,64992.77842
panama,2000,64992.77842
panama,2001,64992.77842
panama,2002,64992.77842
panama,2003,64992.77842
panama,2004,64992.77842
panama,2005,64992.77842
panama,2006,64992.77842
panama,2007,64992.77842
panama,2008,64992.77842
panama,2009,64992.77842
panama,2010,64992.77842
panama,2011,64992.77842
panama,2012,64992.77842
panama,2013,64992.77842
panama,2014,64992.77842
panama,2015,64992.77842
panama,2016,64992.77842
panama,2017,64992.77842
panama,2018,64992.77842
panama,2019,64992.77842
paraguay,1990,1594.5516
paraguay,1991,1594.5516
paraguay,1992,1594.5516
paraguay,1993,1594.5516
paraguay,1994,1594.5516
paraguay,1995,1594.5516
paraguay,1996,1594.5516
paraguay,1997,1594.5516
paraguay,1998,1594.5516
paraguay,1999,1594.5516
paraguay,2000,1594.5516
paraguay,2001,1594.5516
paraguay,2002,1594.5516
paraguay,2003,1594.5516
paraguay,2004,1594.5516
paraguay,2005,1594.5516
paraguay,2006,1594.5516
paraguay,2007,1594.5516
paraguay,2008,1594.5516
paraguay,2009,1594.5516
paraguay,2010,1594.5516
paraguay,2011,1594.5516
paraguay,2012,1594.5516
paraguay,2013,1594.5516
paraguay,2014,1594.5516
paraguay,2015,1594.5516
paraguay,2016,1594.5516
paraguay,2017,1594.5516
paraguay,2018,1594.5516
paraguay,2019,1594.5516
peru,1990,130948.4817
peru,1991,130948.4817
peru,1992,130948.4817
peru,1993,130948.4817
peru,1994,130948.4817
peru,1995,130948.4817
peru,1996,130948.4817
peru,1997,130948.4817
peru,1998,130948.4817
peru,1999,130948.4817
peru,2000,130948.4817
peru,2001,130948.4817
peru,2002,130948.4817
peru,2003,130948.4817
peru,2004,130948.4817
peru,2005,130948.4817
peru,2006,130948.4817
peru,2007,130948.4817
peru,2008,130948.4817
peru,2009,130948.4817
peru,2010,130948.4817
peru,2011,130948.4817
peru,2012,130948.4817
peru,2013,130948.4817
peru,2014,130948.4817
peru,2015,130948.4817
peru,2016,130948.4817
peru,2017,130948.4817
peru,2018,130948.4817
peru,2019,130948.4817
suriname,1990,189.1102184
suriname,1991,189.1102184
suriname,1992,189.1102184
suriname,1993,189.1102184
suriname,1994,189.1102184
suriname,1995,189.1102184
suriname,1996,189.1102184
suriname,1997,189.1102184
suriname,1998,189.1102184
suriname,1999,189.1102184
suriname,2000,189.1102184
suriname,2001,189.1102184
suriname,2002,189.1102184
suriname,2003,189.1102184
suriname,2004,189.1102184
suriname,2005,189.1102184
suriname,2006,189.1102184
suriname,2007,189.1102184
suriname,2008,189.1102184
suriname,2009,189.1102184
suriname,2010,189.1102184
suriname,2011,189.1102184
suriname,2012,189.1102184
suriname,2013,189.1102184
suriname,2014,189.1102184
suriname,2015,189.1102184
suriname,2016,189.1102184
suriname,2017,189.1102184
suriname,2018,189.1102184
suriname,2019,189.1102184
trinidad_and_tobago,1990,18081.41757
trinidad_and_tobago,1991,18081.41757
trinidad_and_tobago,1992,18081.41757
trinidad_and_tobago,1993,18081.41757
trinidad_and_tobago,1994,18081.41757
trinidad_and_tobago,1995,18081.41757
trinidad_and_tobago,1996,18081.41757
trinidad_and_tobago,1997,18081.41757
trinidad_and_tobago,1998,18081.41757
trinidad_and_tobago,1999,18081.41757
trinidad_and_tobago,2000,18081.41757
trinidad_and_tobago,2001,18081.41757
trinidad_and_tobago,2002,18081.41757
trinidad_and_tobago,2003,18081.41757
trinidad_and_tobago,2004,18081.41757
trinidad_and_tobago,2005,18081.41757
trinidad_and_tobago,2006,18081.41757
trinidad_and_tobago,2007,18081.41757
trinidad_and_tobago,2008,18081.41757
trinidad_and_tobago,2009,18081.41757
trinidad_and_tobago,2010,18081.41757
trinidad_and_tobago,2011,18081.41757
trinidad_and_tobago,2012,18081.41757
trinidad_and_tobago,2013,18081.41757
trinidad_and_tobago,2014,18081.41757
trinidad_and_tobago,2015,18081.41757
trinidad_and_tobago,2016,18081.41757
trinidad_and_tobago,2017,18081.41757
trinidad_and_tobago,2018,18081.41757
trinidad_and_tobago,2019,18081.41757
uruguay,1990,48463.273740000004
uruguay,1991,48463.273740000004
uruguay,1992,48463.273740000004
uruguay,1993,48463.273740000004
uruguay,1994,48463.273740000004
uruguay,1995,48463.273740000004
uruguay,1996,48463.273740000004
uruguay,1997,48463.273740000004
uruguay,1998,48463.273740000004
uruguay,1999,48463.273740000004
uruguay,2000,48463.273740000004
uruguay,2001,48463.273740000004
uruguay,2002,48463.273740000004
uruguay,2003,48463.273740000004
uruguay,2004,48463.273740000004
uruguay,2005,48463.273740000004
uruguay,2006,48463.273740000004
uruguay,2007,48463.273740000004
uruguay,2008,48463.273740000004
uruguay,2009,48463.273740000004
uruguay,2010,48463.273740000004
uruguay,2011,48463.273740000004
uruguay,2012,48463.273740000004
uruguay,2013,48463.273740000004
uruguay,2014,48463.273740000004
uruguay,2015,48463.273740000004
uruguay,2016,48463.273740000004
uruguay,2017,48463.273740000004
uruguay,2018,48463.273740000004
uruguay,2019,48463.273740000004
venezuela,1990,3536.302534
venezuela,1991,3536.302534
venezuela,1992,3536.302534
venezuela,1993,3536.302534
venezuela,1994,3536.302534
venezuela,1995,3536.302534
venezuela,1996,3536.302534
venezuela,1997,3536.302534
venezuela,1998,3536.302534
venezuela,1999,3536.302534
venezuela,2000,3536.302534
venezuela,2001,3536.302534
venezuela,2002,3536.302534
venezuela,2003,3536.302534
venezuela,2004,3536.302534
venezuela,2005,3536.302534
venezuela,2006,3536.302534
venezuela,2007,3536.302534
venezuela,2008,3536.302534
venezuela,2009,3536.302534
venezuela,2010,3536.302534
venezuela,2011,3536.302534
venezuela,2012,3536.302534
venezuela,2013,3536.302534
venezuela,2014,3536.302534
venezuela,2015,3536.302534
venezuela,2016,3536.302534
venezuela,2017,3536.302534
venezuela,2018,3536.302534
venezuela,2019,3536.302534
